Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.431	1.559	0.829	0.805	9214.44	6.927	2.643	0.54	0.513	378.587
2	False	1.828	1.352	0.873	0.854	11934.047	6.928	2.646	0.511	0.421	269.966
3	False	1.737	1.318	0.879	0.861	16898.836	6.825	2.621	0.523	0.435	378.567
4	False	1.677	1.295	0.884	0.865	17449.385	6.869	2.638	0.516	0.431	307.673
5	False	1.63	1.277	0.887	0.869	17433.264	7.109	2.683	0.508	0.445	328.714
6	False	1.599	1.264	0.89	0.872	17447.109	6.619	2.589	0.54	0.474	309.307
7	False	1.578	1.256	0.891	0.873	17500.441	7.357	2.735	0.488	0.39	334.669
8	False	1.562	1.25	0.892	0.874	16859.809	6.83	2.628	0.526	0.466	356.201
9	False	1.543	1.242	0.894	0.876	16547.398	6.987	2.654	0.514	0.422	356.792
10	False	1.532	1.238	0.894	0.877	16633.432	6.907	2.639	0.521	0.437	327.532
11	False	1.525	1.235	0.895	0.877	15205.05	6.955	2.646	0.507	0.416	512.638
12	False	1.517	1.232	0.896	0.878	13337.366	7.437	2.735	0.506	0.427	263.884
13	False	1.509	1.228	0.896	0.878	10476.43	6.605	2.587	0.518	0.452	311.155
14	False	1.488	1.22	0.898	0.88	8842.579	7.084	2.676	0.493	0.417	336.564
15	False	1.487	1.219	0.898	0.881	9904.476	7.092	2.683	0.5	0.419	254.447
16	False	1.476	1.215	0.898	0.881	11077.921	7.604	2.778	0.444	0.358	255.861
17	False	1.473	1.213	0.899	0.881	11709.849	7.213	2.707	0.471	0.394	269.202
18	False	1.468	1.212	0.899	0.882	11542.687	7.261	2.716	0.459	0.378	243.33
19	False	1.468	1.212	0.899	0.882	11326.248	7.901	2.831	0.443	0.371	302.069
20	False	1.448	1.203	0.901	0.883	9705.554	7.647	2.79	0.452	0.382	273.687
21	False	1.442	1.201	0.901	0.884	6704.359	7.504	2.76	0.457	0.367	207.736
22	False	1.432	1.196	0.902	0.884	4810.068	7.356	2.729	0.472	0.394	215.278
23	True	1.444	1.202	0.901	0.884	3957.864	7.791	2.814	0.444	0.37	203.968
