Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.358	1.536	0.825	0.792	17459.373	8.81	2.957	0.383	0.178	225.511
2	False	1.782	1.335	0.869	0.844	16823.771	8.084	2.835	0.43	0.213	306.826
3	False	1.667	1.291	0.878	0.853	15398.141	8.812	2.96	0.383	0.191	333.886
4	False	1.618	1.272	0.882	0.857	12515.228	8.963	2.984	0.391	0.211	449.158
5	False	1.593	1.261	0.884	0.86	14189.102	8.505	2.908	0.39	0.205	382.764
6	False	1.551	1.246	0.887	0.863	13632.739	9.094	3.005	0.38	0.21	302.41
7	False	1.528	1.235	0.889	0.864	16779.947	8.436	2.897	0.387	0.184	355.725
8	False	1.514	1.23	0.89	0.866	16757.234	8.199	2.854	0.431	0.26	384.987
9	False	1.493	1.222	0.892	0.867	16801.494	8.115	2.84	0.429	0.227	422.87
10	False	1.481	1.217	0.892	0.868	17234.859	7.75	2.776	0.434	0.213	456.64
11	False	1.473	1.214	0.893	0.869	16647.854	7.917	2.807	0.43	0.217	352.466
12	False	1.476	1.215	0.893	0.87	13595.8	8.171	2.851	0.411	0.206	250.184
13	False	1.455	1.206	0.895	0.871	11713.579	7.688	2.766	0.436	0.226	343.226
14	False	1.447	1.203	0.895	0.872	10206.149	8.465	2.901	0.417	0.24	317.98
15	False	1.445	1.202	0.895	0.872	9536.869	8.78	2.955	0.376	0.15	299.738
16	False	1.426	1.194	0.897	0.873	9446.437	8.228	2.861	0.42	0.228	287.758
17	False	1.427	1.195	0.897	0.874	10072.86	8.444	2.898	0.394	0.196	250.579
18	False	1.422	1.192	0.897	0.874	10862.764	8.568	2.919	0.404	0.222	295.245
19	False	1.404	1.185	0.898	0.875	10833.13	7.762	2.779	0.447	0.266	259.376
20	False	1.394	1.181	0.899	0.876	9143.788	7.774	2.781	0.438	0.243	228.875
21	False	1.407	1.186	0.898	0.875	7313.868	8.438	2.897	0.381	0.201	239.569
22	False	1.395	1.181	0.899	0.876	5707.086	8.065	2.832	0.413	0.211	292.421
23	True	1.391	1.179	0.899	0.876	3576.897	8.0	2.822	0.401	0.21	295.57
