Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.452	1.565	0.836	0.798	18006.457	9.485	3.079	0.017	-0.031	283.815
2	False	1.869	1.367	0.876	0.847	18163.693	8.529	2.92	0.044	-0.005	319.492
3	False	1.758	1.326	0.884	0.856	17515.352	9.266	3.043	-0.076	-0.121	240.943
4	False	1.691	1.3	0.889	0.86	17379.889	8.629	2.937	0.017	-0.037	427.541
5	False	1.659	1.288	0.891	0.862	18095.672	9.099	3.016	-0.028	-0.075	375.71
6	False	1.617	1.271	0.894	0.866	18004.166	8.885	2.98	0.038	-0.023	296.611
7	False	1.591	1.261	0.896	0.868	17223.518	8.362	2.891	0.067	-0.0	255.549
8	False	1.584	1.259	0.896	0.869	17872.553	8.666	2.943	0.032	-0.04	301.353
9	False	1.563	1.25	0.898	0.87	17038.24	8.926	2.987	0.035	-0.023	291.282
10	False	1.555	1.247	0.898	0.871	16969.875	8.344	2.888	0.036	-0.024	247.63
11	False	1.54	1.241	0.899	0.872	14184.443	8.321	2.884	0.028	-0.049	241.754
12	False	1.536	1.24	0.899	0.872	11954.812	8.811	2.967	0.019	-0.036	269.031
13	False	1.516	1.231	0.901	0.874	11549.761	8.606	2.933	-0.022	-0.091	265.87
14	False	1.517	1.231	0.901	0.874	12082.745	8.407	2.899	0.077	0.003	258.384
15	False	1.526	1.235	0.9	0.874	12026.045	8.597	2.931	0.028	-0.046	277.294
16	False	1.499	1.224	0.902	0.875	11436.168	8.361	2.891	0.059	-0.012	257.153
17	False	1.483	1.218	0.903	0.877	11787.812	8.721	2.952	-0.005	-0.072	220.571
18	False	1.482	1.217	0.903	0.877	9869.985	8.653	2.941	0.049	-0.012	239.322
19	False	1.48	1.217	0.903	0.877	7176.967	8.786	2.964	0.028	-0.035	301.483
20	False	1.466	1.21	0.904	0.878	5893.419	8.088	2.843	0.072	-0.008	200.04
21	False	1.465	1.21	0.904	0.878	3631.68	8.514	2.917	0.029	-0.023	201.201
22	False	1.464	1.209	0.905	0.879	2666.562	8.742	2.956	0.02	-0.036	180.975
23	False	1.459	1.208	0.905	0.879	2601.992	9.237	3.039	-0.014	-0.053	193.517
24	False	1.459	1.208	0.905	0.879	2407.646	8.794	2.965	0.01	-0.054	192.593
25	False	1.449	1.203	0.906	0.88	2300.139	8.157	2.856	0.055	-0.014	188.056
26	False	1.445	1.202	0.906	0.88	2575.08	9.618	3.101	0.015	-0.043	183.5
27	False	1.444	1.202	0.906	0.88	2504.361	8.684	2.947	0.034	-0.036	187.029
28	False	1.435	1.198	0.906	0.88	2516.038	8.834	2.972	0.045	-0.016	138.684
29	False	1.432	1.196	0.907	0.881	2563.114	8.277	2.877	0.087	0.014	182.953
30	True	1.421	1.192	0.907	0.882	2519.725	8.467	2.909	0.02	-0.045	176.973
