Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.376	1.542	0.834	0.806	17102.398	11.906	3.359	-0.157	-0.071	505.901
2	False	1.81	1.345	0.875	0.854	16836.695	12.602	3.454	-0.146	-0.065	368.829
3	False	1.715	1.31	0.881	0.862	13630.542	11.508	3.305	-0.072	-0.012	423.717
4	False	1.649	1.284	0.886	0.866	12645.508	12.112	3.39	-0.081	-0.02	397.846
5	False	1.602	1.266	0.89	0.87	13527.236	11.907	3.367	-0.1	-0.045	365.001
6	False	1.579	1.257	0.891	0.872	15439.943	10.92	3.237	-0.087	-0.031	365.399
7	False	1.553	1.246	0.893	0.874	16922.352	11.798	3.348	-0.065	-0.006	308.012
8	False	1.539	1.241	0.894	0.874	16669.494	11.449	3.313	-0.033	0.02	429.697
9	False	1.529	1.236	0.895	0.875	16777.438	10.745	3.208	-0.023	0.025	335.385
10	False	1.497	1.224	0.897	0.877	16757.209	10.834	3.236	-0.018	0.024	349.663
11	False	1.492	1.221	0.898	0.878	16670.543	12.027	3.386	-0.09	-0.026	431.652
12	False	1.472	1.213	0.899	0.88	14353.518	10.848	3.232	-0.028	0.024	405.388
13	False	1.461	1.209	0.9	0.881	11517.978	11.095	3.26	-0.002	0.046	234.169
14	False	1.458	1.207	0.9	0.881	10317.774	11.498	3.313	0.0	0.045	257.386
15	False	1.443	1.201	0.901	0.882	9164.812	11.099	3.279	-0.011	0.041	365.485
16	False	1.442	1.201	0.901	0.883	9331.941	11.335	3.308	-0.112	-0.046	364.363
17	False	1.436	1.198	0.902	0.883	10016.977	11.256	3.305	-0.032	0.01	282.938
18	False	1.423	1.193	0.903	0.884	10674.316	11.774	3.358	-0.1	-0.023	270.282
19	True	1.412	1.188	0.903	0.885	10993.135	11.674	3.35	-0.045	0.002	276.154
