Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.309	1.52	0.841	0.801	17690.398	11.741	3.254	0.44	0.397	454.9
2	False	1.761	1.327	0.879	0.849	18009.422	8.484	2.768	0.472	0.404	289.329
3	False	1.652	1.285	0.887	0.858	17358.482	9.045	2.872	0.467	0.4	547.851
4	False	1.583	1.258	0.892	0.864	17224.752	9.589	2.953	0.482	0.413	467.018
5	False	1.559	1.249	0.894	0.865	17090.475	10.25	3.063	0.468	0.4	581.101
6	False	1.531	1.237	0.896	0.868	16858.229	9.707	2.982	0.486	0.416	464.622
7	False	1.497	1.224	0.898	0.871	15977.109	9.797	2.998	0.446	0.403	462.568
8	False	1.478	1.216	0.899	0.872	13354.354	9.452	2.947	0.476	0.416	307.17
9	False	1.461	1.209	0.901	0.874	14396.489	9.161	2.893	0.482	0.426	402.281
10	False	1.456	1.207	0.901	0.874	15324.848	9.302	2.917	0.478	0.409	241.888
11	False	1.446	1.203	0.902	0.875	14855.564	10.722	3.139	0.476	0.423	415.381
12	True	1.429	1.195	0.903	0.877	11656.295	9.297	2.92	0.46	0.417	339.334
