Step,Time
Train_Sum,317914.21685791016
Train_Mean,10597.140561930339
Valid,108.64742279052734
Test,107.69692993164062
Train_Epoch1,18290.272338867188
Train_Epoch2,18483.185089111328
Train_Epoch3,17756.294799804688
Train_Epoch4,17807.42999267578
Train_Epoch5,18471.38217163086
Train_Epoch6,18300.77734375
Train_Epoch7,17479.066955566406
Train_Epoch8,18173.906036376953
Train_Epoch9,17329.522094726562
Train_Epoch10,17217.504669189453
Train_Epoch11,14426.197570800781
Train_Epoch12,12223.84228515625
Train_Epoch13,11815.630767822266
Train_Epoch14,12341.129272460938
Train_Epoch15,12303.339233398438
Train_Epoch16,11693.320556640625
Train_Epoch17,12008.382369995117
Train_Epoch18,10109.30697631836
Train_Epoch19,7478.4500732421875
Train_Epoch20,6093.45930480957
Train_Epoch21,3832.880661010742
Train_Epoch22,2847.5365142822266
Train_Epoch23,2795.5091247558594
Train_Epoch24,2600.239059448242
Train_Epoch25,2488.195343017578
Train_Epoch26,2758.5799713134766
Train_Epoch27,2691.389175415039
Train_Epoch28,2654.7223205566406
Train_Epoch29,2746.0665283203125
Train_Epoch30,2696.698257446289
