Step,Time
Train_Sum,293516.4373474121
Train_Mean,12761.58423249618
Valid,182.3819580078125
Test,186.52621459960938
Train_Epoch1,9593.026947021484
Train_Epoch2,12204.013122558594
Train_Epoch3,17277.402893066406
Train_Epoch4,17757.05795288086
Train_Epoch5,17761.978149414062
Train_Epoch6,17756.416564941406
Train_Epoch7,17835.11001586914
Train_Epoch8,17216.00942993164
Train_Epoch9,16904.19012451172
Train_Epoch10,16960.96405029297
Train_Epoch11,15717.687866210938
Train_Epoch12,13601.250305175781
Train_Epoch13,10787.585174560547
Train_Epoch14,9179.142700195312
Train_Epoch15,10158.922760009766
Train_Epoch16,11333.78141784668
Train_Epoch17,11979.05029296875
Train_Epoch18,11786.016052246094
Train_Epoch19,11628.316589355469
Train_Epoch20,9979.241180419922
Train_Epoch21,6912.095199584961
Train_Epoch22,5025.346298217773
Train_Epoch23,4161.832260131836
