Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.371	1.54	0.825	0.791	17583.312	5.939	2.449	0.312	0.332	395.945
2	False	1.781	1.335	0.869	0.843	17143.627	6.934	2.644	0.31	0.335	380.96
3	False	1.664	1.29	0.878	0.851	16619.541	6.902	2.636	0.282	0.327	467.557
4	False	1.607	1.268	0.883	0.857	14135.971	5.899	2.437	0.294	0.367	479.542
5	False	1.571	1.254	0.886	0.859	13884.396	7.436	2.737	0.311	0.361	405.286
6	False	1.545	1.243	0.888	0.862	12337.093	7.13	2.68	0.338	0.369	329.178
7	False	1.505	1.227	0.891	0.865	15145.057	6.973	2.651	0.278	0.314	436.388
8	False	1.505	1.227	0.891	0.865	17086.273	6.63	2.586	0.334	0.368	372.165
9	False	1.483	1.218	0.892	0.867	16704.236	5.986	2.456	0.272	0.352	262.96
10	False	1.468	1.212	0.894	0.868	16922.875	5.726	2.4	0.333	0.368	375.449
11	False	1.452	1.205	0.895	0.87	16923.676	6.025	2.461	0.315	0.352	329.921
12	False	1.446	1.203	0.895	0.87	14379.768	5.317	2.311	0.351	0.36	349.214
13	False	1.438	1.199	0.896	0.871	11932.905	6.041	2.466	0.324	0.37	213.418
14	False	1.429	1.196	0.896	0.872	11492.544	6.064	2.471	0.327	0.356	204.676
15	False	1.422	1.192	0.897	0.872	11473.229	6.243	2.507	0.366	0.398	424.02
16	False	1.412	1.188	0.898	0.873	10916.095	5.967	2.454	0.355	0.392	292.711
17	False	1.409	1.187	0.898	0.874	10622.388	5.564	2.367	0.379	0.399	357.622
18	False	1.407	1.186	0.898	0.874	9992.442	5.646	2.382	0.337	0.364	418.878
19	False	1.391	1.18	0.899	0.874	8814.123	6.372	2.533	0.324	0.363	240.805
20	False	1.388	1.178	0.9	0.874	6675.584	6.02	2.462	0.352	0.392	238.409
21	False	1.387	1.178	0.9	0.874	6894.202	5.662	2.389	0.333	0.372	221.967
22	True	1.388	1.178	0.9	0.875	5451.432	6.991	2.656	0.349	0.383	227.625
