Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.463	1.57	0.808	0.77	16341.597	8.506	2.923	0.478	0.378	228.231
2	False	1.856	1.362	0.857	0.826	13069.341	10.511	3.249	0.476	0.376	371.234
3	False	1.743	1.32	0.866	0.837	10966.537	9.933	3.158	0.518	0.403	281.281
4	False	1.692	1.301	0.871	0.842	14924.743	9.817	3.14	0.474	0.338	332.178
5	False	1.655	1.286	0.874	0.844	17020.756	10.708	3.279	0.519	0.389	357.057
6	False	1.626	1.275	0.876	0.847	17330.559	10.147	3.193	0.531	0.425	282.252
7	False	1.603	1.266	0.878	0.85	17657.127	10.712	3.28	0.523	0.403	398.23
8	False	1.571	1.253	0.88	0.852	17409.797	11.545	3.405	0.461	0.376	277.319
9	False	1.562	1.25	0.881	0.853	17106.436	10.555	3.256	0.499	0.382	380.403
10	False	1.542	1.242	0.883	0.855	17214.236	11.711	3.43	0.483	0.38	269.646
11	True	1.526	1.235	0.884	0.856	16784.303	11.304	3.369	0.496	0.363	412.075
