Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.319	1.523	0.83	0.805	4911.016	8.945	2.963	0.336	0.283	348.055
2	False	1.756	1.325	0.873	0.852	16613.887	9.292	3.031	0.338	0.25	314.73
3	False	1.661	1.289	0.88	0.86	17730.445	9.609	3.068	0.389	0.296	298.19
4	False	1.607	1.267	0.884	0.864	17444.158	8.296	2.862	0.413	0.315	332.966
5	False	1.562	1.25	0.888	0.868	17376.318	9.005	2.985	0.362	0.288	330.509
6	False	1.535	1.239	0.89	0.87	17142.879	8.27	2.857	0.409	0.325	371.118
7	False	1.502	1.225	0.892	0.872	17584.752	8.345	2.868	0.422	0.33	406.823
8	False	1.487	1.219	0.893	0.874	17369.598	8.228	2.852	0.415	0.323	348.286
9	False	1.459	1.208	0.895	0.876	16707.557	8.382	2.876	0.398	0.318	407.179
10	False	1.465	1.211	0.895	0.876	16874.465	8.332	2.866	0.438	0.352	511.616
11	False	1.433	1.197	0.897	0.879	17167.189	8.162	2.838	0.422	0.333	421.478
12	False	1.44	1.2	0.897	0.878	14218.453	8.329	2.869	0.415	0.341	370.491
13	False	1.43	1.196	0.898	0.879	12021.208	8.372	2.879	0.404	0.341	291.665
14	False	1.419	1.191	0.899	0.88	11548.821	8.612	2.92	0.376	0.315	227.618
15	False	1.413	1.189	0.899	0.88	10697.084	8.443	2.889	0.393	0.325	197.74
16	False	1.402	1.184	0.9	0.882	10414.055	8.901	2.961	0.403	0.334	304.343
17	False	1.399	1.183	0.9	0.881	10751.579	8.61	2.916	0.37	0.287	332.696
18	False	1.387	1.178	0.901	0.883	10272.849	8.563	2.908	0.384	0.319	395.221
19	False	1.392	1.18	0.901	0.882	8766.294	8.42	2.887	0.396	0.317	241.42
20	False	1.383	1.176	0.901	0.883	7717.935	8.531	2.907	0.39	0.321	237.177
21	True	1.368	1.17	0.902	0.884	7264.889	8.669	2.927	0.362	0.29	223.799
