Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.321	1.524	0.82	0.793	17890.441	10.151	3.146	0.488	0.341	328.97
2	False	1.754	1.325	0.865	0.844	17749.248	10.831	3.245	0.443	0.339	338.872
3	False	1.668	1.291	0.872	0.853	17385.535	11.132	3.298	0.427	0.282	422.752
4	False	1.6	1.265	0.878	0.859	16884.367	11.026	3.279	0.426	0.284	543.224
5	False	1.564	1.25	0.881	0.862	17613.375	11.32	3.326	0.411	0.289	395.079
6	False	1.537	1.24	0.883	0.864	16968.326	12.052	3.431	0.364	0.236	506.832
7	False	1.519	1.232	0.884	0.865	14958.102	11.763	3.391	0.391	0.278	440.68
8	False	1.501	1.225	0.886	0.866	14929.108	11.382	3.328	0.4	0.252	473.954
9	False	1.488	1.22	0.887	0.868	14159.896	12.011	3.414	0.384	0.245	219.716
10	False	1.469	1.212	0.888	0.87	14475.74	11.907	3.399	0.376	0.264	430.812
11	True	1.456	1.205	0.889	0.871	14750.816	11.904	3.407	0.377	0.294	287.217
