Step,Time
Train_Sum,273626.3976287842
Train_Mean,14401.389348883378
Valid,332.7481384277344
Test,196.4667205810547
Train_Epoch1,18370.101806640625
Train_Epoch2,18189.710968017578
Train_Epoch3,17954.848083496094
Train_Epoch4,17506.474212646484
Train_Epoch5,18078.613800048828
Train_Epoch6,17195.369506835938
Train_Epoch7,15610.744812011719
Train_Epoch8,15239.800964355469
Train_Epoch9,14649.567657470703
Train_Epoch10,15226.139190673828
Train_Epoch11,15558.584106445312
Train_Epoch12,11950.16438293457
Train_Epoch13,10710.938171386719
Train_Epoch14,11638.230819702148
Train_Epoch15,11854.963562011719
Train_Epoch16,11716.894134521484
Train_Epoch17,11808.433166503906
Train_Epoch18,11075.841690063477
Train_Epoch19,9290.976593017578
