Step,Time
Train_Sum,287508.5499267578
Train_Mean,13690.88332984561
Valid,220.30758666992188
Test,215.43478393554688
Train_Epoch1,5259.071014404297
Train_Epoch2,16928.616760253906
Train_Epoch3,18028.634979248047
Train_Epoch4,17777.124603271484
Train_Epoch5,17706.8271484375
Train_Epoch6,17513.997344970703
Train_Epoch7,17991.574645996094
Train_Epoch8,17717.88397216797
Train_Epoch9,17114.735229492188
Train_Epoch10,17386.081146240234
Train_Epoch11,17588.667083740234
Train_Epoch12,14588.943908691406
Train_Epoch13,12312.872528076172
Train_Epoch14,11776.439590454102
Train_Epoch15,10894.823532104492
Train_Epoch16,10718.398162841797
Train_Epoch17,11084.275390625
Train_Epoch18,10668.06948852539
Train_Epoch19,9007.71435546875
Train_Epoch20,7955.111145019531
Train_Epoch21,7488.687896728516
