Step,Time
Train_Sum,266087.07833862305
Train_Mean,14004.583070453844
Valid,224.09347534179688
Test,259.0449523925781
Train_Epoch1,17608.299682617188
Train_Epoch2,17205.524505615234
Train_Epoch3,14054.259002685547
Train_Epoch4,13043.353485107422
Train_Epoch5,13892.237396240234
Train_Epoch6,15805.342102050781
Train_Epoch7,17230.36376953125
Train_Epoch8,17099.191192626953
Train_Epoch9,17112.822357177734
Train_Epoch10,17106.87237548828
Train_Epoch11,17102.19515991211
Train_Epoch12,14758.90512084961
Train_Epoch13,11752.146759033203
Train_Epoch14,10575.160705566406
Train_Epoch15,9530.297576904297
Train_Epoch16,9696.304870605469
Train_Epoch17,10299.9150390625
Train_Epoch18,10944.598175048828
Train_Epoch19,11269.2890625
