GDSC_Drug,Entrez_ID,Ki_nM,source_rows,pAffinity,drug_idx,gene_idx
16722836,3716,105.0,1,6.978810700930062,108,346
16722836,7297,405.0,1,6.392544976785331,108,667
16722836,3718,1002.0,1,5.999132278468773,108,348
16725726,207,1.0,1,9.0,109,23
16725726,208,4.0,1,8.397940008672037,109,24
176158,2931,9.05,1,8.043351420794796,33,288
176158,2932,9.0,1,8.045757490560675,33,289
176870,11309,530.0,1,6.275724130399211,34,883
176870,1956,0.75,1,9.1249387366083,34,186
176870,2064,95.0,1,7.022276394711152,34,211
176870,1576,6300.0,1,5.200659450546418,34,159
176870,3815,1600000.0,1,2.795880017344075,34,355
176870,3718,930000.0,1,3.031517051446065,34,348
176870,28234,41000.0,1,4.3872161432802645,34,948
176870,440275,4400000.0,1,2.356547323513812,34,1152
176870,10599,21000.0,1,4.6777807052660805,34,853
17755052,5293,31.0,1,7.508638306165727,110,465
17755052,5296,70.2,1,7.153662887870195,110,468
17755052,5295,2.56,1,8.59176003468815,110,467
17755052,5290,2.58,1,8.588380294036769,110,462
17755052,5291,70.2,1,7.153662887870195,110,463
17755052,2475,580.0,1,6.236572006437063,110,262
17755052,5294,1.54,1,8.812479279163536,110,466
208908,1956,3.0,1,8.522878745280337,35,186
208908,1576,1700.0,1,5.769551078621726,35,159
208908,1577,37600.0,1,4.424812155072339,35,160
216239,10733,240.0,1,6.619788758288394,36,858
216239,5894,6.0,1,8.221848749616356,36,561
216239,3350,1181.0,1,5.927750102386485,36,318
216239,3815,31000.0,1,4.508638306165727,36,355
216239,673,30.0,1,7.522878745280337,36,62
216239,3356,1959.0,1,5.707965564005264,36,319
216239,3358,417.0,1,6.379863945026242,36,321
216239,3363,7071.0,1,5.150519162756014,36,324
216239,3791,0.12,1,9.920818753952377,36,354
216239,3357,56.0,1,7.251811972993799,36,320
216239,766,8136.0,1,5.089589060085312,36,73
216239,3361,3296.0,1,5.482012796974922,36,322
216239,3362,6213.0,1,5.206698646386885,36,323
216239,768,8100.0,1,5.09151498112135,36,74
216239,10769,30000.0,1,4.522878745280337,36,861
216239,27330,7500000.0,1,2.1249387366083,36,944
216326,51185,1490.0,1,5.826813731587726,37,968
2332,2147,1240.0,1,5.906578314837764,3,223
2332,2159,305.0,1,6.515700160653214,3,226
2332,5340,500000.0,1,3.3010299956639813,3,478
2332,5328,180000.0,1,3.7447274948966935,3,476
2332,5327,910000.0,1,3.040958607678906,3,475
2332,5644,18400.0,1,4.735182176990463,3,533
2332,2155,240000.0,1,3.6197887582883936,3,225
2332,716,398000.0,1,3.4001169279263124,3,66
2332,6768,400000.0,1,3.397940008672037,3,624
2375,367,65.0,1,7.187086643357144,4,36
24180719,5894,3.3,1,8.481486060122112,111,561
24180719,673,2.6,1,8.585026652029182,111,62
24753719,55869,2000.0,1,5.698970004336019,112,1021
24771867,6790,0.998,2,9.000869458712629,113,630
24772860,3326,1.95,1,8.709965388637482,114,316
24772860,7184,462.0,1,6.335358024443874,114,659
24772860,10131,791.0,1,6.101823516502323,114,828
24776445,6608,16.2,1,7.790484985457369,115,613
24821094,695,4.4,1,8.356547323513812,116,64
24821094,3757,1100.0,1,5.958607314841775,116,353
24826799,3791,1.5,1,8.823908740944319,117,354
24856436,9088,535.5,1,6.271240524832125,118,769
24889392,2322,1.6,1,8.795880017344075,119,253
24958200,142,3.2,1,8.494850021680094,120,16
24958200,10038,4.0,1,8.397940008672037,120,821
24978538,596,0.044,1,10.356547323513812,121,49
24978538,598,18.0275,1,7.744064495767038,121,51
24978538,4170,550.0,1,6.259637310505756,121,379
24978538,599,133.0,1,6.876148359032914,121,52
25099184,3717,0.45,1,9.346787486224656,122,347
25102847,3791,0.035,1,10.455931955649724,123,354
25124816,3643,1.3,1,8.886056647693163,124,340
25124816,3480,1.6,1,8.795880017344075,124,328
25126798,3717,0.1,1,10.0,125,347
25126798,3716,0.2,1,9.69897000433602,125,346
25126798,7297,0.525,1,9.279840696594045,125,667
25126798,3718,3.2,1,8.494850021680094,125,348
25126798,7376,45000.0,1,4.346787486224656,125,672
25254071,5290,5.0,1,8.301029995663981,126,462
25254071,2475,17.0,1,7.769551078621726,126,262
2733526,2099,32.595,2,7.486849014623794,50,216
2733526,5243,100.0,1,7.0,50,455
2733526,1576,200.0,1,6.698970004336019,50,159
2733526,1555,900.0,1,6.045757490560675,50,154
2733526,3362,1041.0,1,5.982549270489464,50,323
2733526,10682,5.0,1,8.301029995663981,50,856
2733526,2100,0.51,1,9.292429823902063,50,217
2733526,10280,35.0,1,7.455931955649724,50,833
2733526,84650,2.8,1,8.55284196865778,50,1083
3062316,3717,1000000.0,1,3.0,51,347
3062316,25,30.0,1,7.522878745280337,51,1
3062316,1576,6300.0,1,5.200659450546418,51,159
3062316,3815,1640.0,1,5.785156151952302,51,355
3062316,1636,715000.0,1,3.145693958198919,51,168
3062316,6714,16.0,1,7.795880017344075,51,618
3062316,9088,36.75,1,7.434742656579786,51,769
3062316,440275,1600000.0,1,2.795880017344075,51,1152
31703,11309,230000.0,1,3.638272163982407,16,883
31703,5243,8500.0,1,5.070581074285707,16,455
31703,28234,38000.0,1,4.42021640338319,16,948
31703,55847,3451.0,1,5.462055040708513,16,1019
31703,10599,150000.0,1,3.823908740944319,16,853
3218,53831,24.0,1,7.619788758288394,5,987
36314,5444,16500.0,1,4.782516055786093,17,480
36314,28234,1800.0,1,5.7447274948966935,17,948
36314,10599,840.0,1,6.075720713938118,17,853
36462,5243,522000.0,1,3.282329496997738,18,455
36462,5444,131000.0,1,3.882728704344236,18,480
36462,1244,756000.0,1,3.1214782044987937,18,130
36462,28234,13500.0,1,4.8696662315049934,18,948
387447,771,5870.0,1,5.231361898752386,38,75
387447,2147,13000.0,1,4.886056647693163,38,223
387447,759,1290.0,1,5.889410289700751,38,67
387447,760,1160.0,1,5.935542010773082,38,68
387447,761,4570.0,1,5.34008379993015,38,69
387447,1991,2300.0,1,5.638272163982407,38,192
387447,1511,630.0,1,6.200659450546418,38,151
387447,1504,320.0,1,6.494850021680094,38,148
387447,5689,83.0,1,7.080921907623926,38,541
387447,762,6510.0,1,5.186419011431807,38,70
387447,765,4380.0,1,5.3585258894959,38,72
387447,5693,6.6,1,8.18045606445813,38,543
387447,763,6920.0,1,5.1598939055432425,38,71
387447,766,6940.0,1,5.158640529545146,38,73
387447,768,3380.0,1,5.471083299722345,38,74
387447,377677,8450.0,1,5.073143291050307,38,1146
387447,23632,3280.0,1,5.484126156288321,38,925
387447,11238,6830.0,1,5.165579296318468,38,882
4212,28234,3100.0,1,5.508638306165727,6,948
4261,8841,33.0,1,7.481486060122112,7,755
4261,3065,298.5,1,6.525055664534612,7,296
4261,3066,39.5,1,7.403402904373539,7,297
42642645,6098,16.0,1,7.795880017344075,127,580
42642645,3791,2.8,1,8.55284196865778,127,354
42642645,6608,60.0,1,7.221848749616356,127,613
44259,10733,2.6,1,8.585026652029182,19,858
44259,1111,7.8,1,8.10790539730952,19,116
44259,8573,5.1,1,8.292429823902063,19,737
44259,904,4.35,1,8.361510743045363,19,101
44259,983,1.0,1,9.0,19,104
44259,1019,41.0,1,7.387216143280264,19,108
44259,1017,3.45,2,8.462180904926726,19,106
44259,2931,1.1,1,8.958607314841775,19,288
44259,5347,790.0,1,6.102372908709558,19,479
44259,3702,2.2,1,8.657577319177793,19,344
44259,225689,1.9,1,8.721246399047171,19,1130
44259,10645,0.2,1,9.69897000433602,19,855
44259,1263,1200.0,1,5.920818753952375,19,131
44259,10769,150.0,1,6.823908740944319,19,861
442972,6608,12.7,1,7.896196279044043,39,613
444732,8841,0.58,2,9.236572006437065,40,755
444732,9759,1400.0,1,5.853871964321762,40,808
444732,3065,252.13,2,6.598375476182735,40,296
444732,51548,3320.0,1,5.478861916295964,40,976
444732,51564,195.0,1,6.709965388637482,40,977
444732,3066,0.97,1,9.013228265733757,40,297
444732,83933,4.8,1,8.318758762624412,40,1073
