gene1_idx,Gene1_Entrez_ID,gene2_idx,Gene2_Entrez_ID,combined_score,PPI_score
21,190,219,2104,587.0,0.587
21,190,263,2516,886.0,0.886
21,190,481,5468,638.0,0.638
21,190,482,5469,499.0,0.499
21,190,800,9611,698.0,0.698
21,190,801,9612,676.0,0.676
22,191,34,331,542.0,0.542
23,207,24,208,983.0,0.983
23,207,34,331,657.0,0.657
23,207,36,367,457.0,0.457
23,207,47,572,657.0,0.657
23,207,62,673,542.0,0.542
23,207,79,801,630.0,0.63
23,207,123,1147,908.0,0.908
23,207,136,1387,523.0,0.523
23,207,137,1432,557.0,0.557
23,207,139,1445,500.0,0.5
23,207,144,1457,484.0,0.484
23,207,180,1786,477.0,0.477
23,207,186,1956,523.0,0.523
23,207,195,2023,658.0,0.658
23,207,197,2033,622.0,0.622
23,207,206,2049,418.0,0.418
23,207,222,2146,595.0,0.595
23,207,249,2288,855.0,0.855
23,207,250,2289,907.0,0.907
23,207,262,2475,557.0,0.557
23,207,278,2810,649.0,0.649
23,207,286,2908,450.0,0.45
23,207,288,2931,457.0,0.457
23,207,289,2932,457.0,0.457
23,207,311,3309,878.0,0.878
23,207,312,3312,633.0,0.633
23,207,314,3315,953.0,0.953
23,207,315,3320,997.0,0.997
23,207,316,3326,989.0,0.989
23,207,330,3551,726.0,0.726
23,207,333,3611,799.0,0.799
23,207,335,3615,449.0,0.449
23,207,345,3708,948.0,0.948
23,207,347,3717,589.0,0.589
23,207,354,3791,527.0,0.527
23,207,382,4193,970.0,0.97
23,207,385,4215,650.0,0.65
23,207,386,4216,408.0,0.408
23,207,387,4217,807.0,0.807
23,207,392,4296,529.0,0.529
23,207,422,4869,555.0,0.555
23,207,435,5058,989.0,0.989
23,207,448,5163,495.0,0.495
23,207,449,5170,988.0,0.988
23,207,462,5290,528.0,0.528
23,207,463,5291,413.0,0.413
23,207,466,5294,444.0,0.444
23,207,467,5295,647.0,0.647
23,207,486,5499,699.0,0.699
23,207,501,5579,410.0,0.41
23,207,507,5585,564.0,0.564
23,207,508,5586,798.0,0.798
23,207,510,5588,450.0,0.45
23,207,511,5590,457.0,0.457
23,207,512,5591,603.0,0.603
23,207,515,5594,798.0,0.798
23,207,520,5599,437.0,0.437
23,207,527,5606,818.0,0.818
23,207,530,5609,597.0,0.597
23,207,551,5747,798.0,0.798
23,207,552,5753,900.0,0.9
23,207,561,5894,676.0,0.676
23,207,562,5914,457.0,0.457
23,207,584,6198,671.0,0.671
23,207,596,6416,457.0,0.457
23,207,598,6446,578.0,0.578
23,207,615,6624,412.0,0.412
23,207,618,6714,981.0,0.981
23,207,628,6788,457.0,0.457
23,207,630,6790,526.0,0.526
23,207,635,6850,448.0,0.448
23,207,642,7015,529.0,0.529
23,207,659,7184,508.0,0.508
23,207,676,7415,457.0,0.457
23,207,682,7465,538.0,0.538
23,207,691,7534,666.0,0.666
23,207,755,8841,630.0,0.63
23,207,781,9261,799.0,0.799
23,207,804,9682,402.0,0.402
23,207,817,10000,957.0,0.957
23,207,830,10188,571.0,0.571
23,207,834,10298,445.0,0.445
23,207,874,11140,826.0,0.826
23,207,891,22933,461.0,0.461
23,207,954,29110,833.0,0.833
23,207,1042,64223,631.0,0.631
23,207,1053,79109,621.0,0.621
23,207,1124,203068,701.0,0.701
23,207,1132,253260,657.0,0.657
24,208,249,2288,478.0,0.478
24,208,250,2289,614.0,0.614
24,208,289,2932,596.0,0.596
24,208,449,5170,630.0,0.63
24,208,454,5241,414.0,0.414
24,208,512,5591,635.0,0.635
24,208,516,5595,491.0,0.491
