node_idx,Entrez_ID
658,7182
659,7184
660,7263
661,7272
662,7276
663,7277
664,7294
665,7295
666,7296
667,7297
668,7298
669,7301
670,7329
671,7364
672,7376
673,7398
674,7403
675,7407
676,7415
677,7417
678,7421
679,7430
680,7444
681,7458
682,7465
683,7468
684,7486
685,7494
686,7514
687,7525
688,7529
689,7532
690,7533
691,7534
692,7535
693,7786
694,7846
695,7862
696,7867
697,7874
698,7965
699,8013
700,8019
701,8030
702,8050
703,8078
704,8087
705,8140
706,8239
707,8242
708,8294
709,8317
710,8318
711,8359
712,8360
713,8361
714,8364
715,8365
716,8366
717,8367
718,8368
719,8394
720,8396
721,8408
722,8428
723,8444
724,8445
725,8473
726,8476
727,8491
728,8493
729,8520
730,8536
731,8544
732,8550
733,8558
734,8565
735,8566
736,8569
737,8573
738,8576
739,8607
740,8621
741,8644
742,8647
743,8658
744,8711
745,8714
746,8731
747,8737
748,8767
749,8780
750,8788
751,8798
752,8805
753,8812
754,8814
755,8841
756,8844
757,8850
758,8851
759,8856
760,8877
761,8883
762,8899
763,8986
764,8999
765,9024
766,9039
767,9064
768,9070
769,9088
770,9100
771,9113
772,9123
773,9128
774,9133
775,9138
776,9149
777,9175
778,9201
779,9212
780,9252
781,9261
782,9262
783,9263
784,9344
785,9360
786,9361
787,9368
788,9373
789,9429
790,9439
791,9446
792,9448
793,9451
794,9453
795,9475
796,9493
797,9520
798,9536
799,9578
800,9611
801,9612
802,9641
803,9656
804,9682
805,9706
806,9734
807,9748
808,9759
809,9833
810,9874
811,9891
812,9934
813,9943
814,9970
815,9971
816,9978
817,10000
818,10013
819,10014
820,10017
821,10038
822,10039
823,10055
824,10062
825,10097
826,10110
827,10114
828,10131
829,10135
830,10188
831,10196
832,10257
833,10280
834,10298
835,10309
836,10376
837,10381
838,10383
839,10390
840,10392
841,10419
842,10420
843,10454
844,10461
845,10465
846,10493
847,10494
848,10498
849,10521
850,10558
851,10568
852,10595
853,10599
854,10606
855,10645
856,10682
857,10713
858,10733
859,10746
860,10765
861,10769
862,10783
863,10856
864,10919
865,10926
866,10927
867,10971
868,11004
869,11011
870,11035
871,11040
872,11091
873,11113
874,11140
875,11164
876,11176
877,11177
878,11183
879,11184
880,11200
881,11213
882,11238
883,11309
884,11313
885,11315
886,11329
887,11335
888,22807
889,22848
890,22858
891,22933
892,22974
893,22983
894,23012
895,23020
896,23028
897,23030
898,23043
899,23049
900,23067
901,23081
902,23097
903,23133
904,23135
905,23178
906,23186
907,23193
908,23210
909,23235
910,23358
911,23387
912,23396
913,23408
914,23410
915,23411
916,23435
917,23450
918,23476
919,23569
920,23576
921,23604
922,23613
923,23617
924,23621
925,23632
926,23678
927,23683
928,23762
929,23774
930,25778
931,25818
932,25865
933,25885
934,25976
935,25989
936,26013
937,26227
938,26524
939,26576
940,26986
941,27102
942,27148
943,27154
944,27330
945,27347
946,27436
947,27443
948,28234
949,28985
950,28996
951,29028
952,29072
953,29078
954,29110
955,29117
956,29904
957,29941
958,29952
959,29956
960,30001
961,30811
962,50487
963,50488
964,50507
