node_idx,old_node_idx,GDSC_Cell,DepMap_ModelID,SIDM,DepMap_CellLineName,DepMap_StrippedCellLineName,COSMICID,CCLEName
482,503,SIDM00509,ACH-000187,SIDM00509,COR-L311,CORL311,687980.0,CORL311_LUNG
483,504,SIDM00511,ACH-000257,SIDM00511,COR-L279,CORL279,910937.0,CORL279_LUNG
484,505,SIDM00628,ACH-000849,SIDM00628,MDA-MB-468,MDAMB468,908123.0,MDAMB468_BREAST
485,506,SIDM00630,ACH-000876,SIDM00630,MDA-MB-415,MDAMB415,924240.0,MDAMB415_BREAST
486,507,SIDM00428,ACH-000294,SIDM00428,NB-4,NB4,1323913.0,NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
487,508,SIDM00474,ACH-000688,SIDM00474,OV7,OV7,1480360.0,OV7_OVARY
488,509,SIDM00078,ACH-000228,SIDM00078,BICR 31,BICR31,1290725.0,BICR31_UPPER_AERODIGESTIVE_TRACT
489,510,SIDM00324,ACH-001674,SIDM00324,TGW,TGW,910780.0,TGW_AUTONOMIC_GANGLIA
490,511,SIDM00961,ACH-000210,SIDM00961,CADO-ES1,CADOES1,753539.0,CADOES1_BONE
491,512,SIDM00305,ACH-000132,SIDM00305,JHOS-2,JHOS2,1479995.0,JHOS2_OVARY
492,513,SIDM00483,ACH-001654,SIDM00483,SK-GT-4,SKGT4,1503365.0,SKGT4_OESOPHAGUS
493,514,SIDM00194,ACH-000532,SIDM00194,SNU-61,SNU61,1660035.0,SNU61_LARGE_INTESTINE
494,515,SIDM00213,ACH-000903,SIDM00213,FTC-133,FTC133,906864.0,FTC133_THYROID
495,516,SIDM00235,ACH-000189,SIDM00235,RCC10RGB,RCC10RGB,909974.0,RCC10RGB_KIDNEY
496,517,SIDM00247,ACH-000356,SIDM00247,MKN-45,MKN45,925340.0,MKN45_STOMACH
497,518,SIDM00084,ACH-000376,SIDM00084,SF-295,SF295,905985.0,SF295_CENTRAL_NERVOUS_SYSTEM
