node_idx,old_node_idx,GDSC_Cell,DepMap_ModelID,SIDM,DepMap_CellLineName,DepMap_StrippedCellLineName,COSMICID,CCLEName
58,58,SIDM00115,ACH-002298,SIDM00115,PCI-6A,PCI6A,1240206.0,PCI6A_UPPER_AERODIGESTIVE_TRACT
59,59,SIDM00771,ACH-000496,SIDM00771,NCI-H1792,NCIH1792,724868.0,NCIH1792_LUNG
60,60,SIDM00645,ACH-000666,SIDM00645,NCI-H1355,NCIH1355,724866.0,NCIH1355_LUNG
61,61,SIDM00654,ACH-000866,SIDM00654,NCI-H1048,NCIH1048,687995.0,NCIH1048_LUNG
62,62,SIDM00480,ACH-000704,SIDM00480,OAW42,OAW42,910548.0,OAW42_OVARY
63,63,SIDM00477,ACH-000383,SIDM00477,OE33,OE33,910549.0,OE33_OESOPHAGUS
64,64,SIDM00090,ACH-000696,SIDM00090,OVCAR-8,OVCAR8,905991.0,OVCAR8_OVARY
65,65,SIDM01085,ACH-000242,SIDM01085,RT4,RT4,687455.0,RT4_URINARY_TRACT
66,66,SIDM01135,ACH-000060,SIDM01135,Panc 10.05,PANC1005,925348.0,PANC1005_PANCREAS
67,67,SIDM00473,ACH-000619,SIDM00473,PE/CA-PJ15,PECAPJ15,1240207.0,PECAPJ15_UPPER_AERODIGESTIVE_TRACT
68,68,SIDM00763,ACH-000434,SIDM00763,NCI-H1915,NCIH1915,1240184.0,NCIH1915_LUNG
69,69,SIDM00446,ACH-000113,SIDM00446,OCI-AML2,OCIAML2,910947.0,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
70,70,SIDM00567,ACH-000776,SIDM00567,ONS-76,ONS76,909248.0,ONS76_CENTRAL_NERVOUS_SYSTEM
71,71,SIDM00564,ACH-000527,SIDM00564,OVISE,OVISE,1240198.0,OVISE_OVARY
72,72,SIDM01089,ACH-000371,SIDM01089,RL,RL,910861.0,RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
73,73,SIDM00402,ACH-000473,SIDM00402,RT-112,RT112,909704.0,RT112_URINARY_TRACT
74,74,SIDM00453,ACH-000023,SIDM00453,PA-TU-8988T,PATU8988T,1240201.0,PATU8988T_PANCREAS
75,75,SIDM00451,ACH-000937,SIDM00451,PF-382,PF382,909260.0,PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
76,76,SIDM00755,ACH-000888,SIDM00755,NCI-H1793,NCIH1793,908463.0,NCIH1793_LUNG
77,77,SIDM00566,ACH-001625,SIDM00566,OSC-19,OSC19,1298362.0,OSC19_UPPER_AERODIGESTIVE_TRACT
78,78,SIDM00358,ACH-000144,SIDM00358,RERF-GC-1B,RERFGC1B,1240209.0,RERFGC1B_STOMACH
79,79,SIDM00352,ACH-000719,SIDM00352,RMG-I,RMGI,909699.0,RMGI_OVARY
80,80,SIDM00401,ACH-000614,SIDM00401,RVH-421,RVH421,909706.0,RVH421_SKIN
81,81,SIDM00237,ACH-000030,SIDM00237,PC-14,PC14,753608.0,PC14_LUNG
82,82,SIDM01132,ACH-001711,SIDM01132,PFSK-1,PFSK1,683667.0,PFSK1_CENTRAL_NERVOUS_SYSTEM
83,83,SIDM00748,ACH-000015,SIDM00748,NCI-H1581,NCIH1581,908471.0,NCIH1581_LUNG
84,84,SIDM00457,ACH-000024,SIDM00457,OPM-2,OPM2,909249.0,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
85,85,SIDM00465,ACH-002183,SIDM00465,OVMIU,OVMIU,1240200.0,OVMIU_OVARY
86,86,SIDM00359,ACH-000565,SIDM00359,RCM-1,RCM1,909263.0,RCM1_LARGE_INTESTINE
87,88,SIDM00653,ACH-000514,SIDM00653,NCI-H1092,NCIH1092,687997.0,NCIH1092_LUNG
88,89,SIDM00749,ACH-000916,SIDM00749,NCI-H1573,NCIH1573,908472.0,NCIH1573_LUNG
89,90,SIDM00353,ACH-000505,SIDM00353,RKN,RKN,1298539.0,RKN_SOFT_TISSUE
90,91,SIDM00565,ACH-001626,SIDM00565,OSC-20,OSC20,1240196.0,OSC20_UPPER_AERODIGESTIVE_TRACT
91,92,SIDM00469,ACH-000320,SIDM00469,PSN1,PSN1,910546.0,PSN1_PANCREAS
92,93,SIDM00044,ACH-002295,SIDM00044,PCI-30,PCI30,1298529.0,PCI30_UPPER_AERODIGESTIVE_TRACT
93,94,SIDM00746,ACH-000766,SIDM00746,NCI-H1648,NCIH1648,687799.0,NCIH1648_LUNG
94,95,SIDM01141,ACH-000291,SIDM01141,OV-90,OV90,1240197.0,OV90_OVARY
95,96,SIDM00354,ACH-000442,SIDM00354,RERF-LC-Sq1,RERFLCSQ1,1298538.0,RERFLCSQ1_LUNG
96,97,SIDM00364,ACH-002059,SIDM00364,P30/OHK,P30OHK,,P30OHK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
97,98,SIDM00270,ACH-002294,SIDM00270,PCI-15A,PCI15A,1240204.0,PCI15A_UPPER_AERODIGESTIVE_TRACT
98,99,SIDM00481,ACH-000116,SIDM00481,OAW28,OAW28,946360.0,OAW28_OVARY
99,100,SIDM00750,ACH-000869,SIDM00750,NCI-H1568,NCIH1568,1298348.0,NCIH1568_LUNG
100,101,SIDM00241,ACH-002179,SIDM00241,OCUB-M,OCUBM,909256.0,OCUBM_BREAST
101,102,SIDM00091,ACH-001151,SIDM00091,OVCAR-5,OVCAR5,905969.0,OVCAR5_OVARY
102,103,SIDM00762,ACH-000414,SIDM00762,NCI-H1944,NCIH1944,1240185.0,NCIH1944_LUNG
103,104,SIDM00847,ACH-000169,SIDM00847,RD,RD,909264.0,RD_SOFT_TISSUE
104,105,SIDM00087,ACH-000817,SIDM00087,RPMI 8226,RPMI8226,905964.0,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
105,106,SIDM01138,ACH-000139,SIDM01138,Panc 03.27,PANC0327,925346.0,PANC0327_PANCREAS
106,107,SIDM00155,ACH-002296,SIDM00155,PCI-38,PCI38,1240205.0,PCI38_UPPER_AERODIGESTIVE_TRACT
107,108,SIDM00220,ACH-000962,SIDM00220,OC 314,OC314,909257.0,OC314_OVARY
108,109,SIDM00758,ACH-001137,SIDM00758,NCI-H1993,NCIH1993,908476.0,NCIH1993_LUNG
109,110,SIDM00651,ACH-000980,SIDM00651,NCI-H1155,NCIH1155,908467.0,NCIH1155_LUNG
110,111,SIDM00478,ACH-000544,SIDM00478,OE21,OE21,1298359.0,OE21_OESOPHAGUS
111,112,SIDM00239,ACH-000159,SIDM00239,OS-RC-2,OSRC2,909250.0,OSRC2_KIDNEY
112,113,SIDM01025,ACH-000637,SIDM01025,KYSE-520,KYSE520,753575.0,KYSE520_OESOPHAGUS
113,114,SIDM00554,ACH-000524,SIDM00554,KURAMOCHI,KURAMOCHI,909975.0,KURAMOCHI_OVARY
114,115,SIDM00612,ACH-002257,SIDM00612,KINGS-1,KINGS1,907279.0,KINGS1_CENTRAL_NERVOUS_SYSTEM
115,116,SIDM00344,ACH-000596,SIDM00344,LCLC-97TM1,LCLC97TM1,946361.0,LCLC97TM1_LUNG
116,117,SIDM00296,ACH-002051,SIDM00296,Lu-134-A,LU134A,,LU134A_LUNG
117,118,SIDM00341,ACH-000176,SIDM00341,LOU-NH91,LOUNH91,1298226.0,LOUNH91_LUNG
118,119,SIDM01055,ACH-000098,SIDM01055,GAMG,GAMG,906868.0,GAMG_CENTRAL_NERVOUS_SYSTEM
119,120,SIDM00333,ACH-000988,SIDM00333,MFE-319,MFE319,1240174.0,MFE319_ENDOMETRIUM
120,122,SIDM00686,ACH-000293,SIDM00686,KLE,KLE,924187.0,KLE_ENDOMETRIUM
121,123,SIDM00687,ACH-000793,SIDM00687,KATO III,KATOIII,907276.0,KATOIII_STOMACH
122,124,SIDM01003,ACH-000101,SIDM01003,KE-37,KE37,907277.0,KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
123,125,SIDM00345,ACH-000627,SIDM00345,LCLC-103H,LCLC103H,753586.0,LCLC103H_LUNG
124,126,SIDM00313,ACH-000702,SIDM00313,L-1236,L1236,1330935.0,L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
125,127,SIDM00537,ACH-001345,SIDM00537,GP5d,GP5D,907291.0,GP5D_LARGE_INTESTINE
126,128,SIDM00332,ACH-001819,SIDM00332,MFM-223,MFM223,,MFM223_BREAST
127,129,SIDM01029,ACH-000873,SIDM01029,KYSE-270,KYSE270,907319.0,KYSE270_OESOPHAGUS
128,130,SIDM01028,ACH-000809,SIDM01028,KYSE-410,KYSE410,753574.0,KYSE410_OESOPHAGUS
129,131,SIDM00571,ACH-000108,SIDM00571,KP-3,KP3,1298219.0,KP3_PANCREAS
130,132,SIDM00312,ACH-000183,SIDM00312,L-363,L363,924239.0,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
131,133,SIDM00684,ACH-000595,SIDM00684,LN-229,LN229,1240169.0,LN229_CENTRAL_NERVOUS_SYSTEM
132,134,SIDM00860,ACH-000846,SIDM00860,FaDu,FADU,906863.0,FADU_UPPER_AERODIGESTIVE_TRACT
133,135,SIDM00856,ACH-000096,SIDM00856,G-401,G401,907299.0,G401_SOFT_TISSUE
134,136,SIDM00273,ACH-000756,SIDM00273,GI-1,GI1,906871.0,GI1_CENTRAL_NERVOUS_SYSTEM
135,137,SIDM01026,ACH-000824,SIDM01026,KYSE-510,KYSE510,907321.0,KYSE510_OESOPHAGUS
136,138,SIDM00308,ACH-000074,SIDM00308,KU812,KU812,907311.0,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
137,139,SIDM01004,ACH-000983,SIDM01004,KCL-22,KCL22,1330931.0,KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
138,140,SIDM00339,ACH-000787,SIDM00339,LXF-289,LXF289,753592.0,LXF289_LUNG
139,141,SIDM00685,ACH-000819,SIDM00685,LN-18,LN18,1240168.0,LN18_CENTRAL_NERVOUS_SYSTEM
140,142,SIDM00503,ACH-000633,SIDM00503,FU97,FU97,1290806.0,FU97_STOMACH
141,143,SIDM00853,ACH-000835,SIDM00853,GCT,GCT,906999.0,GCT_SOFT_TISSUE
142,144,SIDM00227,ACH-001344,SIDM00227,GI-ME-N,GIMEN,906872.0,GIMEN_AUTONOMIC_GANGLIA
143,145,SIDM00335,ACH-000192,SIDM00335,MFE-280,MFE280,908129.0,MFE280_ENDOMETRIUM
144,146,SIDM00555,ACH-000631,SIDM00555,KS-1,KS1,907313.0,KS1_CENTRAL_NERVOUS_SYSTEM
145,147,SIDM00611,ACH-000684,SIDM00611,KMRC-1,KMRC1,1298168.0,KMRC1_KIDNEY
146,148,SIDM00603,ACH-001543,SIDM00603,KOSC-2,KOSC2,753570.0,KOSC2CL343_UPPER_AERODIGESTIVE_TRACT
147,149,SIDM00294,ACH-001549,SIDM00294,Lu-135,LU135,713899.0,LU135_LUNG
148,150,SIDM00677,ACH-000007,SIDM00677,LS513,LS513,907795.0,LS513_LARGE_INTESTINE
149,151,SIDM01220,ACH-002269,SIDM01220,LNZTA3WT4,LNZTA3WT4,1240170.0,LNZTA3WT4_CENTRAL_NERVOUS_SYSTEM
150,152,SIDM01024,ACH-000784,SIDM01024,KYSE-70,KYSE70,753576.0,KYSE70_OESOPHAGUS
151,153,SIDM00609,ACH-000250,SIDM00609,KMRC-20,KMRC20,1298169.0,KMRC20_KIDNEY
152,154,SIDM00547,ACH-000438,SIDM00547,Lu-65,LU65,724863.0,LU65_LUNG
153,155,SIDM00680,ACH-000957,SIDM00680,LS 180,LS180,998189.0,LS180_LARGE_INTESTINE
154,156,SIDM00858,ACH-000082,SIDM00858,"G-292, clone A141B1",G292CLONEA141B1,1290807.0,G292CLONEA141B1_BONE
155,157,SIDM01032,ACH-000823,SIDM01032,KYSE-140,KYSE140,753573.0,KYSE140_OESOPHAGUS
156,158,SIDM00613,ACH-000231,SIDM00613,KALS-1,KALS1,907271.0,KALS1_CENTRAL_NERVOUS_SYSTEM
157,159,SIDM00293,ACH-002052,SIDM00293,Lu-139,LU139,,LU139_LUNG
158,160,SIDM00776,ACH-000501,SIDM00776,LS123,LS123,907792.0,LS123_LARGE_INTESTINE
159,161,SIDM00274,ACH-000047,SIDM00274,GCIY,GCIY,906869.0,GCIY_STOMACH
160,162,SIDM00855,ACH-000375,SIDM00855,G-402,G402,907298.0,G402_SOFT_TISSUE
161,163,SIDM00337,ACH-000450,SIDM00337,MEL-HO,MELHO,908124.0,MELHO_SKIN
162,164,SIDM01031,ACH-000855,SIDM01031,KYSE-150,KYSE150,907317.0,KYSE150_OESOPHAGUS
163,165,SIDM00292,ACH-002077,SIDM00292,Lu-165,LU165,,LU165_LUNG
164,166,SIDM00681,ACH-000252,SIDM00681,LS1034,LS1034,917486.0,LS1034_LARGE_INTESTINE
165,167,SIDM00581,ACH-000738,SIDM00581,GB-1,GB1,687568.0,GB1_CENTRAL_NERVOUS_SYSTEM
166,169,SIDM00638,ACH-001360,SIDM00638,MS751,MS751,1240179.0,MS751_CERVIX
167,170,SIDM00527,ACH-000935,SIDM00527,MDST8,MDST8,1240173.0,MDST8_LARGE_INTESTINE
168,171,SIDM01193,ACH-000040,SIDM01193,U-118 MG,U118MG,687588.0,U118MG_CENTRAL_NERVOUS_SYSTEM
169,172,SIDM00316,ACH-000469,SIDM00316,YH-13,YH13,909905.0,YH13_CENTRAL_NERVOUS_SYSTEM
170,173,SIDM00369,ACH-000647,SIDM00369,TE-1,TE1,753621.0,TE1_OESOPHAGUS
171,174,SIDM00326,ACH-000452,SIDM00326,TE-8,TE8,753623.0,TE8_OESOPHAGUS
172,175,SIDM01093,ACH-000556,SIDM01093,SIHA,SIHA,930297.0,SIHA_CERVIX
173,176,SIDM01080,ACH-000181,SIDM01080,SCC-9,SCC9,909709.0,SCC9_UPPER_AERODIGESTIVE_TRACT
174,178,SIDM01098,ACH-000149,SIDM01098,SK-N-SH,SKNSH,717431.0,SKNSH_AUTONOMIC_GANGLIA
175,179,SIDM00437,ACH-000362,SIDM00437,MOLM-13,MOLM13,1330947.0,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
176,180,SIDM00973,ACH-000827,SIDM00973,WM793,WM793,1299081.0,WM793_SKIN
177,181,SIDM00411,ACH-000332,SIDM00411,YAPC,YAPC,909904.0,YAPC_PANCREAS
178,182,SIDM00349,ACH-000318,SIDM00349,TE-10,TE10,753622.0,TE10_OESOPHAGUS
179,183,SIDM00325,ACH-000694,SIDM00325,TE-9,TE9,946353.0,TE9_OESOPHAGUS
180,184,SIDM00374,ACH-002062,SIDM00374,SLVL,SLVL,,SLVL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
181,185,SIDM01194,ACH-000420,SIDM01194,SNU-449,SNU449,909738.0,SNU449_LIVER
182,186,SIDM01099,ACH-000341,SIDM01099,SK-N-FI,SKNFI,688087.0,SKNFI_AUTONOMIC_GANGLIA
183,187,SIDM00657,ACH-000045,SIDM00657,MV4-11,MV411,908156.0,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
184,188,SIDM01186,ACH-000554,SIDM01186,UACC-893,UACC893,909778.0,UACC893_BREAST
185,189,SIDM01169,ACH-000885,SIDM01169,TOV-21G,TOV21G,1240222.0,TOV21G_OVARY
186,190,SIDM00095,ACH-000504,SIDM00095,SNB75,SNB75,905982.0,SNB75_CENTRAL_NERVOUS_SYSTEM
187,191,SIDM01110,ACH-000361,SIDM01110,SK-HEP-1,SKHEP1,909719.0,SKHEP1_LIVER
188,192,SIDM00525,ACH-000359,SIDM00525,MG-63,MG63,908131.0,MG63_BONE
189,194,SIDM01077,ACH-000115,SIDM01077,VCaP,VCAP,1299075.0,VCAP_PROSTATE
190,195,SIDM00412,ACH-001709,SIDM00412,WSU-NHL,WSUNHL,909785.0,WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
191,196,SIDM00315,ACH-000570,SIDM00315,YKG1,YKG1,687592.0,YKG1_CENTRAL_NERVOUS_SYSTEM
192,197,SIDM01172,ACH-000146,SIDM01172,THP-1,THP1,909771.0,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
193,198,SIDM01196,ACH-000422,SIDM01196,SNU-475,SNU475,909739.0,SNU475_LIVER
194,199,SIDM00079,ACH-000811,SIDM00079,SK-OV-3,SKOV3,905959.0,SKOV3_OVARY
195,200,SIDM01198,ACH-000567,SIDM01198,ST486,ST486,910906.0,ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
196,201,SIDM00348,ACH-000488,SIDM00348,TE-11,TE11,946354.0,TE11_OESOPHAGUS
197,202,SIDM00322,ACH-000561,SIDM00322,T.T,TDOTT,1299064.0,TT_OESOPHAGUS
198,203,SIDM00423,ACH-000656,SIDM00423,SU-DHL-8,SUDHL8,1331038.0,SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
199,204,SIDM01106,ACH-000822,SIDM01106,SK-MEL-24,SKMEL24,909725.0,SKMEL24_SKIN
200,205,SIDM00833,ACH-000421,SIDM00833,SW837,SW837,909755.0,SW837_LARGE_INTESTINE
201,206,SIDM01184,ACH-000018,SIDM01184,T24,T24,724812.0,T24_URINARY_TRACT
202,207,SIDM00148,ACH-000019,SIDM00148,MCF-7,MCF7,905946.0,MCF7_BREAST
203,208,SIDM01182,ACH-000522,SIDM01182,UM-UC-3,UMUC3,724838.0,UMUC3_URINARY_TRACT
204,210,SIDM00418,ACH-000716,SIDM00418,TT2609-C02,TT2609C02,1240223.0,TT2609C02_THYROID
205,211,SIDM01165,ACH-000155,SIDM01165,SW 1990,SW1990,910907.0,SW1990_PANCREAS
206,212,SIDM00841,ACH-000651,SIDM00841,SW 620,SW620,905962.0,SW620_LARGE_INTESTINE
207,213,SIDM00097,ACH-000147,SIDM00097,T-47D,T47D,905945.0,T47D_BREAST
208,214,SIDM00260,ACH-002161,SIDM00260,MKN28,MKN28,908139.0,MKN28_STOMACH
209,215,SIDM00111,ACH-000232,SIDM00111,U-251 MG,U251MG,905983.0,U251MG_CENTRAL_NERVOUS_SYSTEM
210,216,SIDM01179,ACH-001702,SIDM01179,VA-ES-BJ,VAESBJ,688121.0,VAESBJ_SOFT_TISSUE
211,217,SIDM00351,ACH-002029,SIDM00351,SAS,SAS,,SAS_UPPER_AERODIGESTIVE_TRACT
212,218,SIDM00347,ACH-000408,SIDM00347,TE-5,TE5,735784.0,TE5_OESOPHAGUS
213,219,SIDM01180,ACH-000478,SIDM01180,SNU-387,SNU387,909736.0,SNU387_LIVER
214,220,SIDM01171,ACH-000571,SIDM01171,T98G,T98G,687586.0,T98G_CENTRAL_NERVOUS_SYSTEM
215,221,SIDM00637,ACH-000583,SIDM00637,MC116,MC116,907799.0,MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
216,222,SIDM01189,ACH-000075,SIDM01189,U-87 MG,U87MG,687590.0,U87MG_CENTRAL_NERVOUS_SYSTEM
217,225,SIDM00328,ACH-000605,SIDM00328,TE-6,TE6,946355.0,TE6_OESOPHAGUS
218,226,SIDM01190,ACH-000720,SIDM01190,TCCSUP,TCCSUP,687459.0,TCCSUP_URINARY_TRACT
219,227,SIDM00389,ACH-000271,SIDM00389,SU-DHL-10,SUDHL10,1331033.0,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
220,228,SIDM00390,ACH-000664,SIDM00390,SU-DHL-1,SUDHL1,909742.0,SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
221,229,SIDM00782,ACH-000381,SIDM00782,T84,T84,909761.0,T84_LARGE_INTESTINE
222,230,SIDM00992,ACH-000456,SIDM00992,B-CPAP,BCPAP,924104.0,BCPAP_THYROID
223,231,SIDM00489,ACH-002043,SIDM00489,Ca9-22,CA922,,CA922_UPPER_AERODIGESTIVE_TRACT
224,232,SIDM00910,ACH-000120,SIDM00910,CHP-212,CHP212,906820.0,CHP212_AUTONOMIC_GANGLIA
225,233,SIDM00947,ACH-000244,SIDM00947,DK-MG,DKMG,906839.0,DKMG_CENTRAL_NERVOUS_SYSTEM
226,235,SIDM00980,ACH-000948,SIDM00980,23132/87,2313287,910924.0,2313287_STOMACH
227,236,SIDM00987,ACH-000191,SIDM00987,BHT-101,BHT101,906696.0,BHT101_THYROID
228,237,SIDM00941,ACH-000433,SIDM00941,Caki-1,CAKI1,905963.0,CAKI1_KIDNEY
229,238,SIDM00284,ACH-000805,SIDM00284,COLO-679,COLO679,906818.0,COLO679_SKIN
230,239,SIDM00929,ACH-000516,SIDM00929,CAL-78,CAL78,1290765.0,CAL78_BONE
231,240,SIDM00523,ACH-000698,SIDM00523,DMS 53,DMS53,907295.0,DMS53_LUNG
232,241,SIDM01047,ACH-000295,SIDM01047,EM-2,EM2,906855.0,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
233,242,SIDM00982,ACH-000323,SIDM00982,42-MG-BA,42MGBA,687561.0,42MGBA_CENTRAL_NERVOUS_SYSTEM
234,243,SIDM00795,ACH-000219,SIDM00795,A-375,A375,906793.0,A375_SKIN
235,244,SIDM00492,ACH-000269,SIDM00492,AM-38,AM38,910933.0,AM38_CENTRAL_NERVOUS_SYSTEM
236,245,SIDM00122,ACH-000288,SIDM00122,BT-549,BT549,905951.0,BT549_BREAST
237,246,SIDM00212,ACH-000464,SIDM00212,CAS-1,CAS1,910943.0,CAS1_CENTRAL_NERVOUS_SYSTEM
238,247,SIDM00957,ACH-000350,SIDM00957,COLO-678,COLO678,910689.0,COLO678_LARGE_INTESTINE
239,248,SIDM00950,ACH-000243,SIDM00950,DAN-G,DANG,1290797.0,DANG_PANCREAS
240,249,SIDM00540,ACH-002234,SIDM00540,DOK,DOK,910936.0,DOK_UPPER_AERODIGESTIVE_TRACT
241,250,SIDM00264,ACH-002105,SIDM00264,ES4,ES4,949156.0,ES4_BONE
242,251,SIDM01076,ACH-000070,SIDM01076,697,697,906800.0,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
243,252,SIDM00794,ACH-001442,SIDM00794,A388,A388,910697.0,A388_SKIN
244,253,SIDM00920,ACH-000783,SIDM00920,CAMA-1,CAMA1,946382.0,CAMA1_BREAST
245,254,SIDM00923,ACH-001336,SIDM00923,Ca Ski,CASKI,906824.0,CASKI_CERVIX
246,255,SIDM00513,ACH-000161,SIDM00513,COR-L105,CORL105,906805.0,CORL105_LUNG
247,256,SIDM00208,ACH-002229,SIDM00208,D-502MG,D502MG,946373.0,D502MG_CENTRAL_NERVOUS_SYSTEM
248,257,SIDM00120,ACH-000979,SIDM00120,DU 145,DU145,905935.0,DU145_PROSTATE
249,258,SIDM01045,ACH-000978,SIDM01045,EN,EN,1240127.0,EN_ENDOMETRIUM
250,259,SIDM00803,ACH-000411,SIDM00803,769-P,769P,910922.0,769P_KIDNEY
251,260,SIDM00900,ACH-002210,SIDM00900,ARH-77,ARH77,906765.0,ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
252,261,SIDM00988,ACH-000792,SIDM00988,BFTC-909,BFTC909,910698.0,BFTC909_KIDNEY
253,262,SIDM00921,ACH-000264,SIDM00921,Calu-6,CALU6,724859.0,CALU6_LUNG
254,263,SIDM00889,ACH-001333,SIDM00889,C-33 A,C33A,687505.0,C33A_CERVIX
255,264,SIDM00140,ACH-000968,SIDM00140,COLO 792,COLO792,906814.0,COLO792_SKIN
256,265,SIDM00512,ACH-000662,SIDM00512,COR-L23,CORL23,687780.0,CORL23_LUNG
257,266,SIDM00887,ACH-000211,SIDM00887,Daoy,DAOY,906833.0,DAOY_CENTRAL_NERVOUS_SYSTEM
258,267,SIDM00864,ACH-001341,SIDM00864,DoTc2 4510,DOTC24510,906843.0,DOTC24510_CERVIX
259,268,SIDM00861,ACH-000906,SIDM00861,ES-2,ES2,1240128.0,ES2_OVARY
260,269,SIDM00997,ACH-001306,SIDM00997,8305C,8305C,906795.0,8305C_THYROID
261,270,SIDM00995,ACH-001328,SIDM00995,A-431,A431,910925.0,A431_SKIN
262,271,SIDM00986,ACH-000548,SIDM00986,BHY,BHY,753535.0,BHY_UPPER_AERODIGESTIVE_TRACT
263,272,SIDM01233,ACH-000009,SIDM01233,C2BBe1,C2BBE1,910700.0,C2BBE1_LARGE_INTESTINE
264,273,SIDM00934,ACH-000354,SIDM00934,Capan-1,CAPAN1,753624.0,CAPAN1_PANCREAS
265,274,SIDM00130,ACH-000138,SIDM00130,CFPAC-1,CFPAC1,906821.0,CFPAC1_PANCREAS
266,275,SIDM00964,ACH-001453,SIDM00964,BPH-1,BPH1,924105.0,BPH1_PROSTATE
267,276,SIDM00831,ACH-000207,SIDM00831,Detroit 562,DETROIT562,906837.0,DETROIT562_UPPER_AERODIGESTIVE_TRACT
268,277,SIDM00886,ACH-000334,SIDM00886,DB,DB,906832.0,DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
269,278,SIDM00196,ACH-002116,SIDM00196,EW-22,EW22,949167.0,EW22_BONE
270,279,SIDM00903,ACH-000681,SIDM00903,A549,A549,905949.0,A549_LUNG
271,280,SIDM00501,ACH-001332,SIDM00501,BICR 78,BICR78,1240122.0,BICR78_UPPER_AERODIGESTIVE_TRACT
272,281,SIDM01237,ACH-001021,SIDM01237,C3A,C3A,910850.0,C3A_LIVER
273,282,SIDM00954,ACH-001820,SIDM00954,COLO 824,COLO824,,COLO824_BREAST
274,283,SIDM01056,ACH-000330,SIDM01056,EFM-19,EFM19,906851.0,EFM19_BREAST
275,284,SIDM00799,ACH-000558,SIDM00799,A-172,A172,687563.0,A172_CENTRAL_NERVOUS_SYSTEM
276,285,SIDM00848,ACH-000052,SIDM00848,A-673,A673,684052.0,A673_BONE
277,286,SIDM00896,ACH-002214,SIDM00896,BC-1,BC1,910919.0,BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
278,288,SIDM00285,ACH-001338,SIDM00285,CHP-134,CHP134,910941.0,CHP134_AUTONOMIC_GANGLIA
279,289,SIDM00930,ACH-001715,SIDM00930,CAL-72,CAL72,906827.0,CAL72_BONE
280,291,SIDM00924,ACH-000867,SIDM00924,ChaGo-K-1,CHAGOK1,687596.0,CHAGOK1_LUNG
281,292,SIDM01051,ACH-000936,SIDM01051,EFO-27,EFO27,906852.0,EFO27_OVARY
282,294,SIDM00336,ACH-000881,SIDM00336,MEL-JUSO,MELJUSO,908125.0,MELJUSO_SKIN
283,295,SIDM00083,ACH-000273,SIDM00083,SF539,SF539,905984.0,SF539_CENTRAL_NERVOUS_SYSTEM
284,296,SIDM01154,ACH-000953,SIDM01154,SUP-T1,SUPT1,909743.0,SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
285,297,SIDM00301,ACH-000265,SIDM00301,KP-4,KP4,753572.0,KP4_PANCREAS
286,298,SIDM01109,ACH-000145,SIDM01109,SK-LMS-1,SKLMS1,909720.0,SKLMS1_SOFT_TISSUE
287,300,SIDM01218,ACH-001530,SIDM01218,JEG-3,JEG3,907176.0,JEG3_PLACENTA
288,301,SIDM00617,ACH-000577,SIDM00617,JHH-2,JHH2,1240157.0,JHH2_LIVER
289,302,SIDM00146,ACH-000768,SIDM00146,MDA-MB-231,MDAMB231,905960.0,MDAMB231_BREAST
290,303,SIDM01078,ACH-000790,SIDM01078,SHP-77,SHP77,724872.0,SHP77_LUNG
291,304,SIDM01111,ACH-000087,SIDM01111,SK-ES-1,SKES1,684072.0,SKES1_BONE
292,305,SIDM00552,ACH-000607,SIDM00552,KYM-1,KYM1,1240166.0,KYM1_SOFT_TISSUE
293,306,SIDM00604,ACH-001542,SIDM00604,KON,KON,1298215.0,KON_UPPER_AERODIGESTIVE_TRACT
