Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.335	1.528	0.846	0.809	23646.129	10.09	3.176	-0.01	-0.057	1974.242
2	False	1.679	1.296	0.89	0.859	23556.275	11.193	3.345	-0.053	-0.073	2400.165
3	False	1.575	1.255	0.897	0.868	22624.447	10.277	3.205	0.005	-0.011	2321.6
4	False	1.512	1.23	0.901	0.874	22370.543	10.21	3.195	0.012	-0.009	2164.006
5	False	1.46	1.208	0.905	0.878	22273.998	9.325	3.053	0.088	0.062	2285.095
6	False	1.43	1.196	0.907	0.88	22101.422	9.191	3.031	0.077	0.042	2085.973
7	False	1.411	1.188	0.908	0.882	22250.125	9.303	3.05	0.102	0.089	1961.077
8	False	1.371	1.171	0.911	0.885	22422.066	9.114	3.019	0.118	0.103	1978.462
9	False	1.344	1.16	0.913	0.888	22718.422	9.315	3.052	0.052	0.016	2396.021
10	False	1.315	1.147	0.915	0.891	22418.195	8.931	2.988	0.117	0.073	2137.897
11	False	1.291	1.137	0.916	0.893	22597.197	9.12	3.019	0.106	0.075	2226.202
12	False	1.271	1.127	0.918	0.895	22831.535	8.836	2.972	0.082	0.066	1983.878
13	False	1.235	1.111	0.92	0.898	20384.277	9.082	3.013	0.095	0.072	1705.302
14	False	1.23	1.109	0.92	0.898	20224.941	9.08	3.013	0.126	0.098	1959.244
15	False	1.215	1.102	0.921	0.9	19788.324	8.743	2.956	0.128	0.081	1942.176
16	False	1.188	1.09	0.923	0.901	19924.186	9.194	3.032	0.086	0.049	2030.565
17	False	1.18	1.086	0.924	0.903	19153.148	8.833	2.972	0.123	0.092	1719.51
18	False	1.167	1.08	0.925	0.903	19968.941	8.87	2.978	0.103	0.062	1787.305
19	False	1.158	1.076	0.925	0.904	19993.643	8.723	2.953	0.138	0.091	1770.219
20	False	1.153	1.074	0.926	0.905	20169.498	8.135	2.852	0.176	0.136	2002.576
21	False	1.126	1.061	0.927	0.907	19537.811	8.853	2.975	0.132	0.088	2089.902
22	False	1.117	1.057	0.928	0.907	20835.0	8.821	2.969	0.108	0.061	1992.32
23	False	1.102	1.05	0.929	0.909	20021.689	8.641	2.939	0.136	0.082	2121.242
24	False	1.094	1.046	0.93	0.909	19263.465	9.403	3.066	0.074	0.025	1851.845
25	False	1.089	1.044	0.93	0.909	21480.809	8.844	2.973	0.094	0.04	1655.864
26	False	1.071	1.035	0.931	0.911	20662.689	8.049	2.837	0.182	0.13	2009.303
27	False	1.057	1.028	0.932	0.912	20115.234	9.309	3.05	0.093	0.051	2212.48
28	False	1.055	1.027	0.932	0.912	21069.41	8.674	2.945	0.153	0.105	1697.18
29	False	1.047	1.023	0.933	0.913	19673.25	8.923	2.986	0.132	0.093	1754.437
30	False	1.022	1.011	0.934	0.915	20894.916	9.07	3.011	0.092	0.037	2151.004
31	False	1.023	1.011	0.934	0.915	21204.873	8.953	2.991	0.106	0.048	1739.559
32	False	1.01	1.005	0.935	0.916	20017.117	8.963	2.993	0.119	0.071	1978.725
33	False	1.007	1.003	0.935	0.916	20601.613	8.235	2.869	0.174	0.133	1635.688
34	False	0.996	0.998	0.936	0.917	20389.291	8.602	2.932	0.126	0.081	1995.775
35	False	0.983	0.991	0.937	0.918	21237.324	8.395	2.897	0.145	0.092	2173.849
36	True	0.972	0.986	0.938	0.919	20250.639	8.549	2.923	0.129	0.08	1938.154
