Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.321	1.524	0.84	0.811	23004.162	4.76	2.189	0.674	0.645	2192.795
2	False	1.62	1.273	0.889	0.867	22169.539	4.749	2.192	0.652	0.622	2167.35
3	False	1.511	1.229	0.896	0.875	22179.299	5.115	2.275	0.641	0.608	2226.489
4	False	1.461	1.209	0.9	0.879	21904.445	4.811	2.202	0.657	0.624	2314.833
5	False	1.417	1.19	0.903	0.883	22183.705	4.564	2.146	0.671	0.624	2299.813
6	False	1.378	1.174	0.906	0.886	22340.736	4.72	2.186	0.655	0.609	2211.497
7	False	1.349	1.161	0.908	0.889	22289.309	5.103	2.272	0.631	0.591	2250.394
8	False	1.326	1.151	0.91	0.891	22638.211	4.954	2.238	0.65	0.628	2226.975
9	False	1.305	1.142	0.911	0.893	22266.518	4.912	2.228	0.638	0.578	2185.45
10	False	1.264	1.124	0.914	0.896	22089.143	4.925	2.232	0.645	0.61	2289.746
11	False	1.248	1.117	0.915	0.897	22642.457	5.372	2.329	0.602	0.566	2177.357
12	False	1.227	1.108	0.917	0.9	20585.008	5.091	2.267	0.621	0.576	2153.729
13	False	1.218	1.103	0.917	0.9	20399.979	4.746	2.189	0.653	0.612	2077.856
14	False	1.187	1.09	0.92	0.902	20770.971	4.927	2.23	0.637	0.59	2027.249
15	True	1.17	1.082	0.921	0.904	20115.893	4.99	2.242	0.632	0.583	2190.051
