Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.278	1.509	0.839	0.8	22637.518	8.996	3.014	0.464	0.427	2161.774
2	False	1.58	1.258	0.888	0.858	22748.65	7.278	2.698	0.547	0.505	2349.487
3	False	1.482	1.218	0.895	0.866	22117.857	9.017	3.018	0.537	0.55	2248.616
4	False	1.433	1.195	0.899	0.87	22465.674	7.449	2.727	0.533	0.516	2325.857
5	False	1.397	1.178	0.902	0.874	22503.711	8.914	2.998	0.538	0.528	2363.145
6	False	1.352	1.163	0.905	0.878	22317.994	8.044	2.844	0.579	0.566	2222.628
7	False	1.325	1.15	0.907	0.88	22355.752	8.245	2.877	0.564	0.552	2391.26
8	False	1.284	1.134	0.91	0.883	22660.631	7.938	2.827	0.582	0.564	2300.295
9	False	1.26	1.122	0.912	0.886	22585.041	7.309	2.703	0.599	0.584	2119.473
10	False	1.226	1.107	0.914	0.89	22525.037	7.936	2.816	0.492	0.473	2255.489
11	False	1.203	1.097	0.916	0.892	22880.566	9.128	3.034	0.553	0.524	2456.742
12	True	1.186	1.088	0.917	0.894	22771.455	8.131	2.859	0.566	0.565	2263.214
