Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.211	1.487	0.84	0.814	22774.592	8.773	2.969	0.387	0.242	2231.476
2	False	1.582	1.258	0.886	0.865	22123.076	9.767	3.132	0.321	0.171	2213.706
3	False	1.478	1.216	0.894	0.874	22913.547	9.531	3.094	0.335	0.197	2187.932
4	False	1.419	1.191	0.899	0.879	22575.904	8.966	3.001	0.368	0.233	2192.528
5	False	1.372	1.171	0.902	0.883	22389.531	9.762	3.131	0.348	0.177	2253.237
6	False	1.348	1.16	0.904	0.885	22330.545	9.629	3.11	0.314	0.162	2219.298
7	False	1.312	1.145	0.907	0.888	22228.484	9.127	3.028	0.357	0.193	2452.341
8	False	1.28	1.131	0.909	0.891	21995.809	9.369	3.068	0.327	0.196	2335.872
9	False	1.251	1.118	0.911	0.894	22121.752	9.228	3.044	0.339	0.223	2343.22
10	False	1.226	1.107	0.913	0.896	22422.617	9.052	3.015	0.376	0.261	2268.307
11	True	1.193	1.092	0.915	0.9	22061.602	9.398	3.072	0.317	0.181	2487.582
