Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.286	1.512	0.834	0.799	22811.322	7.572	2.771	0.185	0.227	2060.931
2	False	1.614	1.27	0.883	0.854	22507.346	7.459	2.75	0.177	0.241	2075.327
3	False	1.501	1.225	0.891	0.864	22558.033	7.087	2.684	0.191	0.244	2127.265
4	False	1.461	1.209	0.894	0.867	22126.17	7.487	2.755	0.194	0.267	2146.648
5	False	1.402	1.184	0.899	0.872	22033.531	8.241	2.885	0.191	0.256	2239.23
6	False	1.382	1.176	0.9	0.874	21443.936	8.035	2.849	0.205	0.3	2371.086
7	False	1.328	1.153	0.904	0.879	22212.314	7.043	2.672	0.23	0.288	2486.028
8	False	1.302	1.141	0.906	0.881	22217.553	7.374	2.73	0.218	0.271	2361.533
9	False	1.274	1.129	0.908	0.884	21866.385	7.449	2.746	0.263	0.323	2291.832
10	False	1.237	1.112	0.911	0.888	22222.252	6.944	2.651	0.242	0.302	2422.725
11	False	1.207	1.098	0.913	0.891	22026.395	7.82	2.813	0.199	0.272	2392.784
12	False	1.182	1.087	0.915	0.893	22212.053	6.766	2.617	0.26	0.336	2380.549
13	False	1.16	1.077	0.917	0.895	19404.127	6.991	2.662	0.235	0.314	1849.045
14	False	1.144	1.069	0.918	0.896	19322.885	7.273	2.717	0.243	0.311	1969.248
15	False	1.122	1.059	0.92	0.898	19879.939	7.267	2.712	0.198	0.268	2214.009
16	False	1.109	1.053	0.921	0.9	19150.389	7.465	2.748	0.208	0.29	1778.532
17	False	1.104	1.051	0.921	0.9	18700.293	7.123	2.687	0.213	0.275	2003.051
18	False	1.083	1.041	0.923	0.902	18513.941	7.149	2.69	0.224	0.325	2074.901
19	False	1.065	1.032	0.924	0.904	19823.664	7.509	2.758	0.217	0.289	2017.084
20	False	1.061	1.03	0.924	0.904	19888.129	7.367	2.732	0.249	0.322	2091.403
21	False	1.055	1.027	0.925	0.905	19678.723	7.472	2.751	0.249	0.325	2083.552
22	True	1.042	1.021	0.926	0.905	18812.785	7.103	2.682	0.225	0.277	1843.513
