Step,Time
Train_Sum,506692.4411621094
Train_Mean,23031.4745982777
Valid,2099.552001953125
Test,2315.82275390625
Train_Epoch1,24872.253662109375
Train_Epoch2,24582.673095703125
Train_Epoch3,24685.298583984375
Train_Epoch4,24272.817626953125
Train_Epoch5,24272.76123046875
Train_Epoch6,23815.021728515625
Train_Epoch7,24698.3427734375
Train_Epoch8,24579.08544921875
Train_Epoch9,24158.217041015625
Train_Epoch10,24644.97705078125
Train_Epoch11,24419.1787109375
Train_Epoch12,24592.601806640625
Train_Epoch13,21253.172241210938
Train_Epoch14,21292.132446289062
Train_Epoch15,22093.94873046875
Train_Epoch16,20928.920288085938
Train_Epoch17,20703.344360351562
Train_Epoch18,20588.84228515625
Train_Epoch19,21840.747802734375
Train_Epoch20,21979.5322265625
Train_Epoch21,21762.274169921875
Train_Epoch22,20656.2978515625
