Step,Time
Train_Sum,405875.85119628906
Train_Mean,23875.050070369944
Valid,2380.796630859375
Test,2338.745849609375
Train_Epoch1,25694.7265625
Train_Epoch2,24781.069091796875
Train_Epoch3,25083.521240234375
Train_Epoch4,24695.400634765625
Train_Epoch5,24259.26171875
Train_Epoch6,23794.01416015625
Train_Epoch7,24457.41552734375
Train_Epoch8,24346.20263671875
Train_Epoch9,24410.546875
Train_Epoch10,24718.302001953125
Train_Epoch11,24516.10693359375
Train_Epoch12,22939.181640625
Train_Epoch13,22849.210693359375
Train_Epoch14,22680.530517578125
Train_Epoch15,22286.7392578125
Train_Epoch16,22093.19775390625
Train_Epoch17,22270.423950195312
