Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.255	1.502	0.836	0.802	23148.902	7.998	2.83	0.388	0.262	2210.767
2	False	1.599	1.264	0.884	0.858	21838.992	7.804	2.796	0.4	0.285	2321.433
3	False	1.507	1.228	0.89	0.866	22379.102	7.715	2.78	0.424	0.367	2178.15
4	False	1.449	1.204	0.895	0.871	21892.383	7.955	2.823	0.415	0.311	2202.153
5	False	1.419	1.191	0.897	0.873	21761.217	7.643	2.767	0.436	0.333	2206.473
6	False	1.374	1.173	0.901	0.877	21925.574	7.356	2.714	0.455	0.372	2419.833
7	False	1.342	1.159	0.903	0.88	22152.459	7.622	2.763	0.436	0.375	2319.271
8	False	1.327	1.151	0.904	0.882	22006.508	7.31	2.706	0.457	0.353	2352.295
9	False	1.299	1.14	0.906	0.885	21778.078	7.386	2.72	0.453	0.36	2343.114
10	False	1.277	1.13	0.908	0.887	22360.535	7.364	2.716	0.458	0.412	2347.39
11	False	1.234	1.111	0.911	0.891	22029.689	7.265	2.697	0.463	0.327	2329.969
12	False	1.202	1.096	0.914	0.894	20105.02	7.79	2.793	0.403	0.271	2334.823
13	False	1.183	1.088	0.915	0.896	20690.971	6.995	2.647	0.489	0.387	2167.939
14	False	1.168	1.08	0.916	0.897	19952.562	7.474	2.735	0.451	0.363	2134.111
15	False	1.154	1.074	0.917	0.898	20702.752	7.622	2.763	0.418	0.297	2180.588
16	False	1.146	1.071	0.918	0.898	19434.895	7.43	2.728	0.44	0.378	2301.439
17	False	1.12	1.058	0.92	0.901	19870.037	7.417	2.725	0.439	0.329	2120.879
18	False	1.103	1.05	0.921	0.903	20439.506	7.669	2.771	0.412	0.285	2098.779
19	False	1.103	1.05	0.921	0.903	18713.543	7.492	2.739	0.434	0.348	2066.579
20	False	1.075	1.037	0.923	0.905	19757.34	6.993	2.646	0.49	0.357	2340.901
21	False	1.073	1.036	0.923	0.905	20237.455	7.287	2.701	0.457	0.369	2128.029
22	False	1.062	1.03	0.924	0.906	19709.83	7.105	2.667	0.479	0.389	2120.205
23	False	1.048	1.024	0.925	0.908	20488.984	7.307	2.704	0.457	0.371	2080.305
24	False	1.044	1.021	0.926	0.907	20041.24	7.335	2.71	0.452	0.34	1905.145
25	False	1.021	1.01	0.927	0.909	19883.492	7.393	2.72	0.454	0.33	2273.491
26	False	1.019	1.01	0.927	0.91	19317.771	7.598	2.758	0.422	0.342	1849.9
27	False	1.013	1.006	0.928	0.91	19007.432	7.297	2.703	0.456	0.319	2039.108
28	False	0.996	0.998	0.929	0.912	19700.781	7.274	2.698	0.462	0.356	2023.651
29	False	0.996	0.998	0.929	0.912	19514.992	7.485	2.737	0.432	0.31	2003.478
30	True	0.978	0.989	0.93	0.913	19784.113	7.665	2.769	0.411	0.312	1980.077
