Step,Time
Train_Sum,494294.2421875
Train_Mean,23537.82105654762
Valid,2044.61083984375
Test,2292.020751953125
Train_Epoch1,25803.295166015625
Train_Epoch2,24624.320556640625
Train_Epoch3,25088.140380859375
Train_Epoch4,24499.337646484375
Train_Epoch5,24359.6220703125
Train_Epoch6,24323.031982421875
Train_Epoch7,23974.7255859375
Train_Epoch8,24768.555908203125
Train_Epoch9,24376.4765625
Train_Epoch10,24578.43408203125
Train_Epoch11,24134.053955078125
Train_Epoch12,22972.358154296875
Train_Epoch13,22743.560302734375
Train_Epoch14,22662.34033203125
Train_Epoch15,22718.093505859375
Train_Epoch16,21966.407470703125
Train_Epoch17,22287.207275390625
Train_Epoch18,22663.330810546875
Train_Epoch19,21380.657470703125
Train_Epoch20,21999.105224609375
Train_Epoch21,22371.187744140625
