Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.35	1.533	0.837	0.811	23412.229	7.707	2.802	0.426	0.474	1965.951
2	False	1.664	1.29	0.885	0.865	22154.938	6.757	2.626	0.527	0.564	2182.28
3	False	1.554	1.247	0.893	0.873	22343.143	7.237	2.719	0.477	0.532	2225.754
4	False	1.506	1.228	0.896	0.878	22798.27	7.864	2.832	0.431	0.508	2198.772
5	False	1.452	1.205	0.9	0.882	22623.643	7.578	2.781	0.446	0.526	2231.814
6	False	1.415	1.189	0.903	0.885	22211.971	7.461	2.76	0.458	0.515	2350.681
7	False	1.376	1.173	0.906	0.889	22697.803	7.601	2.784	0.445	0.508	2263.53
8	False	1.353	1.163	0.907	0.891	22815.066	7.116	2.695	0.489	0.529	2282.896
9	False	1.306	1.143	0.911	0.894	22722.352	7.553	2.776	0.459	0.529	2392.203
10	False	1.285	1.134	0.912	0.896	22183.883	7.125	2.698	0.493	0.542	2123.69
11	False	1.253	1.119	0.915	0.899	22711.861	6.792	2.631	0.509	0.558	2181.567
12	True	1.222	1.106	0.917	0.902	21889.936	6.846	2.64	0.496	0.559	2516.908
