Step,Time
Train_Sum,830501.2863769531
Train_Mean,23069.480177137586
Valid,1745.9267578125
Test,1870.4862060546875
Train_Epoch1,25620.37060546875
Train_Epoch2,25956.440185546875
Train_Epoch3,24946.047119140625
Train_Epoch4,24534.549072265625
Train_Epoch5,24559.09326171875
Train_Epoch6,24187.395263671875
Train_Epoch7,24211.201538085938
Train_Epoch8,24400.528442382812
Train_Epoch9,25114.443359375
Train_Epoch10,24556.09228515625
Train_Epoch11,24823.39892578125
Train_Epoch12,24815.412841796875
Train_Epoch13,22089.5791015625
Train_Epoch14,22184.185302734375
Train_Epoch15,21730.500366210938
Train_Epoch16,21954.750244140625
Train_Epoch17,20872.65869140625
Train_Epoch18,21756.246459960938
Train_Epoch19,21763.861572265625
Train_Epoch20,22172.073852539062
Train_Epoch21,21627.712646484375
Train_Epoch22,22827.320434570312
Train_Epoch23,22142.931884765625
Train_Epoch24,21115.3095703125
Train_Epoch25,23136.672485351562
Train_Epoch26,22671.992309570312
Train_Epoch27,22327.714111328125
Train_Epoch28,22766.589721679688
Train_Epoch29,21427.687377929688
Train_Epoch30,23045.920166015625
Train_Epoch31,22944.432495117188
Train_Epoch32,21995.841918945312
Train_Epoch33,22237.301391601562
Train_Epoch34,22385.065551757812
Train_Epoch35,23411.1728515625
Train_Epoch36,22188.79296875
