Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.258	1.503	0.827	0.8	23679.049	12.062	3.421	0.457	0.375	2124.246
2	False	1.598	1.264	0.878	0.857	22285.572	12.286	3.456	0.44	0.388	2338.748
3	False	1.506	1.227	0.885	0.865	22732.812	11.338	3.325	0.428	0.344	2355.328
4	False	1.442	1.201	0.89	0.871	22222.064	11.215	3.306	0.459	0.38	2277.273
5	False	1.422	1.191	0.892	0.873	22050.225	11.86	3.393	0.47	0.409	2309.397
6	False	1.366	1.169	0.896	0.877	22084.633	11.291	3.312	0.45	0.377	2238.399
7	False	1.332	1.154	0.899	0.881	21752.604	10.485	3.196	0.484	0.396	2222.122
8	False	1.31	1.145	0.901	0.883	22555.695	10.17	3.142	0.518	0.442	2212.861
9	False	1.295	1.138	0.902	0.885	22070.83	10.201	3.146	0.511	0.426	2305.646
10	False	1.261	1.123	0.905	0.887	22229.334	10.188	3.141	0.512	0.441	2349.1
11	False	1.246	1.115	0.906	0.889	21995.49	9.99	3.113	0.53	0.443	2138.564
12	False	1.22	1.105	0.908	0.891	20681.852	10.244	3.155	0.519	0.432	2290.507
13	False	1.213	1.101	0.909	0.892	20667.799	9.993	3.114	0.514	0.421	2075.761
14	False	1.167	1.081	0.912	0.896	20329.246	10.248	3.153	0.527	0.451	2333.094
15	False	1.168	1.08	0.912	0.896	20538.559	10.313	3.162	0.492	0.429	2179.535
16	False	1.154	1.073	0.913	0.897	19976.234	10.675	3.216	0.492	0.424	1990.173
17	False	1.124	1.061	0.916	0.9	20065.127	11.653	3.363	0.461	0.384	2222.08
18	False	1.105	1.051	0.917	0.901	20411.158	10.928	3.255	0.489	0.41	2252.173
19	False	1.092	1.045	0.918	0.902	19253.414	10.56	3.201	0.491	0.406	2127.243
20	False	1.076	1.038	0.919	0.904	19882.559	10.057	3.119	0.526	0.46	2116.547
21	True	1.068	1.033	0.92	0.904	20100.662	11.16	3.285	0.455	0.4	2270.526
