Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Train_Time	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC	Valid_Time
1	False	2.334	1.528	0.822	0.783	23540.102	10.876	3.304	0.253	0.193	2171.083
2	False	1.672	1.293	0.872	0.841	22340.434	10.382	3.229	0.302	0.271	2131.078
3	False	1.561	1.249	0.881	0.852	22969.025	12.76	3.577	0.252	0.202	2205.428
4	False	1.494	1.222	0.887	0.858	22609.893	13.436	3.669	0.241	0.188	2266.478
5	False	1.458	1.207	0.89	0.862	22339.318	12.323	3.516	0.244	0.196	2171.196
6	False	1.419	1.191	0.893	0.865	21935.172	11.679	3.422	0.297	0.239	2171.179
7	False	1.386	1.177	0.895	0.869	22401.125	11.845	3.447	0.308	0.274	2187.521
8	False	1.355	1.164	0.898	0.872	22786.623	13.022	3.614	0.286	0.238	2134.833
9	False	1.323	1.15	0.9	0.875	22135.404	12.179	3.495	0.274	0.231	2244.358
10	False	1.288	1.135	0.903	0.878	22623.072	11.78	3.437	0.285	0.245	2253.541
11	False	1.261	1.123	0.905	0.881	22891.65	11.642	3.418	0.309	0.257	2239.676
12	True	1.227	1.108	0.908	0.885	22950.443	11.878	3.452	0.306	0.264	2381.064
