Step,Time
Train_Sum,686006.431640625
Train_Mean,22866.8810546875
Valid,2112.032958984375
Test,2388.170166015625
Train_Epoch1,25359.669677734375
Train_Epoch2,24160.425537109375
Train_Epoch3,24557.25146484375
Train_Epoch4,24094.535400390625
Train_Epoch5,23967.689453125
Train_Epoch6,24345.40771484375
Train_Epoch7,24471.72998046875
Train_Epoch8,24358.802490234375
Train_Epoch9,24121.191650390625
Train_Epoch10,24707.925537109375
Train_Epoch11,24359.65869140625
Train_Epoch12,22439.842041015625
Train_Epoch13,22858.909912109375
Train_Epoch14,22086.673095703125
Train_Epoch15,22883.34033203125
Train_Epoch16,21736.333984375
Train_Epoch17,21990.91650390625
Train_Epoch18,22538.28466796875
Train_Epoch19,20780.122314453125
Train_Epoch20,22098.24072265625
Train_Epoch21,22365.48388671875
Train_Epoch22,21830.035400390625
Train_Epoch23,22569.28955078125
Train_Epoch24,21946.384887695312
Train_Epoch25,22156.9833984375
Train_Epoch26,21167.671142578125
Train_Epoch27,21046.539428710938
Train_Epoch28,21724.432373046875
Train_Epoch29,21518.470458984375
Train_Epoch30,21764.18994140625
