Step,Time
Train_Sum,360570.9567871094
Train_Mean,24038.06378580729
Valid,1980.582275390625
Test,2404.80224609375
Train_Epoch1,25196.95751953125
Train_Epoch2,24336.888916015625
Train_Epoch3,24405.787841796875
Train_Epoch4,24219.278564453125
Train_Epoch5,24483.5185546875
Train_Epoch6,24552.23291015625
Train_Epoch7,24539.702880859375
Train_Epoch8,24865.185546875
Train_Epoch9,24451.967529296875
Train_Epoch10,24378.888916015625
Train_Epoch11,24819.814208984375
Train_Epoch12,22738.736328125
Train_Epoch13,22477.834228515625
Train_Epoch14,22798.2197265625
Train_Epoch15,22305.943115234375
