Molecule_ChEMBL_ID,Molecule_Pref_Name,Drug_CID,Drug_GDSC,Canonical_SMILES
CHEMBL349648,,10411663,FALSE,CC1=C(O)C(=O)C=C2C1=C[C@@H](O)[C@H]1[C@@]2(C)CC[C@@]2(C)C3C[C@@H](C)C(=O)[C@@H](O)[C@]3(C)CC[C@]12C
CHEMBL415879,PHENANTHROLINE,1318,FALSE,c1cnc2c(c1)ccc1cccnc12
CHEMBL553593,,45260951,FALSE,CN(C)CCn1c(=O)c2ccc(NCCN)c3c(=O)c4ccccc4n(c1=O)c23.Cl.Cl
CHEMBL82722,,392064,FALSE,COc1ccc2c(c1)c(=O)c1c(NCCNCCO)ccc3c(=O)n(CCN(C)C)c(=O)n2c31
CHEMBL85087,,10696126,FALSE,COc1cc2c(=O)c3c(NCCN(C)C)ccc4c(=O)n(CCN(C)C)c(=O)n(c2cc1OC)c43
CHEMBL82952,,10712821,FALSE,CN(C)CCNc1ccc2c(=O)[nH]c(=O)n3c4ccccc4c(=O)c1c23
CHEMBL84219,,392571,FALSE,CN(C)CCN(C)c1ccc2c(=O)n(CCN(C)C)c(=O)n3c4ccccc4c(=O)c1c23
CHEMBL89445,TERPYRIDINE,70848,FALSE,c1ccc(-c2cccc(-c3ccccn3)n2)nc1
CHEMBL83128,,392573,FALSE,CN(C)CCn1c(=O)c2ccc(NCCNCCO)c3c(=O)c4cc(O)ccc4n(c1=O)c23
CHEMBL553744,,45260920,FALSE,CN(C)CCNc1ccc2c(=O)n(CCN(C)C)c(=O)n3c4ccc(N)cc4c(=O)c1c23.Cl.Cl.Cl
CHEMBL117106,,44344877,FALSE,C1CNCCNCCCNCCNC1.NCCN.NCCNCCN
CHEMBL385092,,44270539,FALSE,CC(=O)NC1C(O)CC(OCCOCCOCCNC(=O)O[C@H]2C[C@H]3OC[C@@]3(OC(C)=O)C3[C@H](OC(=O)c4ccccc4)[C@]4(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c5ccccc5)c5ccccc5)C(C)=C([C@@H](OC(C)=O)C(=O)[C@@]32C)C4(C)C)(C(=O)O)OC1[C@H](O)[C@@H](O)CO
CHEMBL144470,,10687378,FALSE,NCCNC(=O)c1ccc(NCCN)c2cc3ccccc3nc12
CHEMBL939,GEFITINIB,123631,TRUE,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
CHEMBL95320,,9979362,FALSE,C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1
CHEMBL1794954,,56672976,FALSE,CN(C)CCCNC(=O)c1ccc(NCCCN(C)C)c2cc3ccccc3nc12.O=C(O)/C=C\C(=O)O
CHEMBL342519,,10500854,FALSE,CN(C)CCNC(=O)c1ccc(NCCN(C)C)c2cc3cc(N)ccc3nc12
CHEMBL335838,,11731139,FALSE,CC1=C[C@H]2O[C@@H]3[C@H](O)[C@H]4OC(=O)/C=C\C=C\[C@H]([C@@H](C)O)OCC/C(C)=C/C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1
CHEMBL342800,,10717753,FALSE,CCN(CC)CCNC(=O)c1ccc(NCCN(CC)CC)c2cc3ccccc3nc12
CHEMBL145573,,135658,FALSE,CN(C)CCNC(=O)c1ccc(Cl)c2cc3ccccc3nc12
CHEMBL262508,,44326980,FALSE,COc1ccc(C(=O)OC2C(OC3C(O)COC(O[C@H]4CC5C6CC=C7C[C@@H](O)CC[C@]7(C)C6CC([C@H](C)C(=O)CCC(C)C)[C@]5(C)[C@@H]4O)C3OC(C)=O)OCC(O)C2O)cc1
CHEMBL104423,,10068299,FALSE,CN(C)CCNC(=O)c1ccc(NCCN(C)C)c2cc3ccccc3nc12
CHEMBL136268,RORIDIN L,73355875,FALSE,CC1=C[C@H]2O[C@@H]3[C@H](O)[C@H]4OC(=O)/C=C\C=C\[C@H]([C@H](C)O)OCC/C(C)=C/C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1
CHEMBL304414,,5328592,FALSE,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3ccccc3n2C)c(C(=O)Nc2ccccc2)c2ccccc21
CHEMBL54875,,10267124,FALSE,Nc1ccc(-c2cc(=O)c3c(N)c(F)cc(F)c3o2)cc1F
CHEMBL144975,,10504298,FALSE,O=C(NCCN1CCOCC1)c1ccc(NCCN2CCOCC2)c2cc3ccccc3nc12
CHEMBL433680,ANGUIDIN,15571694,FALSE,CC(=O)OC[C@]12CCC(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2
CHEMBL327536,,44327021,FALSE,COc1ccc(C(=O)OC2C(OC3C(O)COC(O[C@H]4CC5C6CC=C7C[C@@H](O)CC[C@]7(C)C6CC([C@H](C)CCCC(C)C)[C@]5(C)[C@@H]4O)C3OC(C)=O)OCC(O)C2O)cc1
CHEMBL39033,,21224938,FALSE,O=C(c1ccccc1)N1CCc2cc(S(=O)(=O)N3CC(c4ccccc4)NC3=O)ccc21
CHEMBL3215424,,90664167,FALSE,COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC(=O)OCC(O)CO
CHEMBL334648,RORIDIN A,9915017,FALSE,CC1=C[C@H]2O[C@@H]3C[C@H]4OC(=O)/C=C\C=C\[C@H]([C@@H](C)O)OCC[C@@H](C)[C@H](O)C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1
CHEMBL146276,,10715727,FALSE,CN(C)CCNC(=O)c1ccc(NCCNCCO)c2cc3ccccc3nc12
CHEMBL44657,ETOPOSIDE,36462,TRUE,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
CHEMBL62176,,5328618,FALSE,CN1C(=S)C(C(=O)Nc2ccccc2)c2ccccc21
CHEMBL92531,,44327022,FALSE,COc1ccc(C(=O)OC2C(OC3C(O)COC(O[C@H]4CC5C6CC=C7C[C@@H](O)CC[C@]7(C)C6CC([C@H](C)C(O)CCC(C)C)[C@]5(C)[C@@H]4O)C3OC(C)=O)OCC(O)C2O)cc1
CHEMBL141654,,10669135,FALSE,CN(C)CCCNC(=O)c1ccc(NCCCN(C)C)c2cc3ccccc3nc12
CHEMBL358186,,288478,FALSE,O=C1c2ccsc2C(=O)c2ccsc21
CHEMBL31965,CANERTINIB,156414,TRUE,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1
CHEMBL96545,,44326979,FALSE,COc1ccc(C(=O)OC2C(OC3C(O)COC(O[C@H]4CC5C6CC=C7C[C@@H](O)CC[C@]7(C)C6CC([C@H](C)C(C)=O)[C@]5(C)[C@@H]4O)C3OC(C)=O)OCC(O)C2O)cc1
CHEMBL11775,,44267417,FALSE,CC(=O)O[C@@H]1O[C@@H]2O[C@@H](OC(C)=O)[C@@H]3CC[C@H]([C@H]1CC/C=C(\C)CCC=C(C)C)[C@H]23
CHEMBL418341,,44267493,FALSE,CC(=O)O[C@H]1O[C@@H]2O[C@@H](OC(C)=O)[C@@H]3CC[C@H]([C@H]1CC/C=C(\C)CCC=C(C)C)[C@H]23
CHEMBL95774,,10006530,FALSE,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCCCN1CCOCC1
CHEMBL145082,,10790108,FALSE,O=C(NCCN1CCCCC1)c1ccc(NCCN2CCCCC2)c2cc3ccccc3nc12
CHEMBL145462,,44362905,FALSE,CN(C)CCNC(=O)C1=CC=C(NCCN(C)C)C2C(=O)c3ccccc3NC12
